Run,Agent,Iteration,Gross Utility
0,DM (policy) 1,0,215.76850775132274
0,DM (policy) 1,1,407.1780239678983
0,DM (policy) 1,2,1590.8615540425394
0,DM (policy) 1,3,1444.3877778379483
0,DM (policy) 1,4,1662.5300104443236
0,DM (policy) 1,5,1556.2484294967448
0,DM (policy) 1,6,1629.2969213239062
0,DM (policy) 1,7,1616.5096399692954
0,DM (policy) 1,8,1684.0613141369308
0,DM (policy) 1,9,1671.3111294230316
1,DM (policy) 1,0,239.8294119079352
1,DM (policy) 1,1,584.8232623023873
1,DM (policy) 1,2,1635.2703084935954
1,DM (policy) 1,3,1762.5701472176277
1,DM (policy) 1,4,1522.7046315734874
1,DM (policy) 1,5,1679.3601484741625
1,DM (policy) 1,6,1422.84595878279
1,DM (policy) 1,7,1652.8758621206794
1,DM (policy) 1,8,1554.1016615555136
1,DM (policy) 1,9,1694.6686036286835
2,DM (policy) 1,0,474.3597962926581
2,DM (policy) 1,1,355.0033509076178
2,DM (policy) 1,2,1014.4712572279548
2,DM (policy) 1,3,921.0647396491482
2,DM (policy) 1,4,1486.3588266064696
2,DM (policy) 1,5,1242.9260005995243
2,DM (policy) 1,6,1415.788912825668
2,DM (policy) 1,7,1565.6822166622967
2,DM (policy) 1,8,1434.3459273960468
2,DM (policy) 1,9,1490.900513750645
3,DM (policy) 1,0,570.8337806728214
3,DM (policy) 1,1,835.5509285760147
3,DM (policy) 1,2,1518.7446595769682
3,DM (policy) 1,3,1585.491842579002
3,DM (policy) 1,4,1690.3737069255258
3,DM (policy) 1,5,1544.0124458573428
3,DM (policy) 1,6,1568.141203054488
3,DM (policy) 1,7,1426.7320642990014
3,DM (policy) 1,8,1500.6415951196243
3,DM (policy) 1,9,1410.454814522214
4,DM (policy) 1,0,750.8202827848118
4,DM (policy) 1,1,1243.5165031157878
4,DM (policy) 1,2,1667.0766239397371
4,DM (policy) 1,3,1561.3948549167012
4,DM (policy) 1,4,1703.141040424677
4,DM (policy) 1,5,1447.8691125570858
4,DM (policy) 1,6,1756.7182201852434
4,DM (policy) 1,7,1489.7110606716947
4,DM (policy) 1,8,1735.3960595064977
4,DM (policy) 1,9,1570.9782407500807
0,DM (policy) 2,0,245.54793300967125
0,DM (policy) 2,1,976.2327269272248
0,DM (policy) 2,2,1474.5751703387427
0,DM (policy) 2,3,1917.31711718091
0,DM (policy) 2,4,1608.9873840857083
0,DM (policy) 2,5,1815.126046437527
0,DM (policy) 2,6,1689.9757312274141
0,DM (policy) 2,7,1577.8782870277687
0,DM (policy) 2,8,1687.942004443721
0,DM (policy) 2,9,1801.4834898703098
1,DM (policy) 2,0,424.2149320763303
1,DM (policy) 2,1,612.4401864333167
1,DM (policy) 2,2,1078.033383957795
1,DM (policy) 2,3,1429.5452371699146
1,DM (policy) 2,4,1402.1231257428392
1,DM (policy) 2,5,1512.1366722968594
1,DM (policy) 2,6,1487.0636133082353
1,DM (policy) 2,7,1367.1806146506078
1,DM (policy) 2,8,1457.7389926477051
1,DM (policy) 2,9,1392.630394363048
2,DM (policy) 2,0,290.9517625880736
2,DM (policy) 2,1,544.7705239669109
2,DM (policy) 2,2,1597.8110051655983
2,DM (policy) 2,3,1381.3048141069644
2,DM (policy) 2,4,1152.8618253190223
2,DM (policy) 2,5,1946.9147480997528
2,DM (policy) 2,6,1791.5150947192315
2,DM (policy) 2,7,1758.5314729924216
2,DM (policy) 2,8,1812.1242506027525
2,DM (policy) 2,9,1682.2499757224705
3,DM (policy) 2,0,473.2104701611833
3,DM (policy) 2,1,779.5606998350759
3,DM (policy) 2,2,1415.2932767348714
3,DM (policy) 2,3,1853.9030833010395
3,DM (policy) 2,4,1648.433878909735
3,DM (policy) 2,5,1793.9127662733652
3,DM (policy) 2,6,1612.516267451326
3,DM (policy) 2,7,1722.6034911913152
3,DM (policy) 2,8,1782.306066331098
3,DM (policy) 2,9,1716.0794085953728
4,DM (policy) 2,0,608.0377691323604
4,DM (policy) 2,1,1574.6033801874237
4,DM (policy) 2,2,1435.4242627180445
4,DM (policy) 2,3,1837.9333341727588
4,DM (policy) 2,4,1784.5524388783438
4,DM (policy) 2,5,1748.3855554447177
4,DM (policy) 2,6,1704.6577427565426
4,DM (policy) 2,7,1802.995041084156
4,DM (policy) 2,8,1706.0684613388044
4,DM (policy) 2,9,1754.427365473555
0,DM (policy) 3,0,1033.28641865695
0,DM (policy) 3,1,1148.2397647195642
0,DM (policy) 3,2,2086.091753825588
0,DM (policy) 3,3,2115.267525505338
0,DM (policy) 3,4,2104.8188837886646
0,DM (policy) 3,5,2019.6310134411087
0,DM (policy) 3,6,2173.510604569013
0,DM (policy) 3,7,2202.8070245460235
0,DM (policy) 3,8,2148.754792255295
0,DM (policy) 3,9,1965.9169438956214
1,DM (policy) 3,0,504.5505459411996
1,DM (policy) 3,1,1419.3945611553688
1,DM (policy) 3,2,2073.626179142357
1,DM (policy) 3,3,2143.986960168711
