Run,Agent,Iteration,Net Utility
0,DM (policy) 1,0,-2167.8266947494376
0,DM (policy) 1,1,127.1118173080128
0,DM (policy) 1,2,445.6545984960851
0,DM (policy) 1,3,513.9343338744309
0,DM (policy) 1,4,509.43067223868206
0,DM (policy) 1,5,508.94318093685774
0,DM (policy) 1,6,509.08148148419747
0,DM (policy) 1,7,474.57182391002334
0,DM (policy) 1,8,540.9265909013582
0,DM (policy) 1,9,454.67181325912253
1,DM (policy) 1,0,-2498.321355741127
1,DM (policy) 1,1,-1634.5943361701436
1,DM (policy) 1,2,377.0142995361017
1,DM (policy) 1,3,582.6236913845871
1,DM (policy) 1,4,441.1766289657843
1,DM (policy) 1,5,565.2603646179601
1,DM (policy) 1,6,381.8921764166197
1,DM (policy) 1,7,517.9488107508234
1,DM (policy) 1,8,431.13588519682384
1,DM (policy) 1,9,471.81062960948344
2,DM (policy) 1,0,-4527.01181141857
2,DM (policy) 1,1,61.29582985188058
2,DM (policy) 1,2,223.19255269613836
2,DM (policy) 1,3,267.5614634163447
2,DM (policy) 1,4,365.63098739176905
2,DM (policy) 1,5,431.3847452262011
2,DM (policy) 1,6,464.8106202217244
2,DM (policy) 1,7,428.1580767178238
2,DM (policy) 1,8,425.79551505296234
2,DM (policy) 1,9,429.88816777971033
3,DM (policy) 1,0,-2285.7824772147774
3,DM (policy) 1,1,-776.3909590435295
3,DM (policy) 1,2,-294.89668410255996
3,DM (policy) 1,3,572.2806938063916
3,DM (policy) 1,4,538.791680861568
3,DM (policy) 1,5,579.3674867925707
3,DM (policy) 1,6,508.3091715288796
3,DM (policy) 1,7,488.2213590659954
3,DM (policy) 1,8,492.0594973051766
3,DM (policy) 1,9,487.5219554512294
4,DM (policy) 1,0,-3323.0051430060316
4,DM (policy) 1,1,-266.8427915269738
4,DM (policy) 1,2,557.0150775452363
4,DM (policy) 1,3,495.4336418994904
4,DM (policy) 1,4,623.6435349994089
4,DM (policy) 1,5,472.8743556301444
4,DM (policy) 1,6,533.4234631408344
4,DM (policy) 1,7,458.74868288326627
4,DM (policy) 1,8,522.7194943728159
4,DM (policy) 1,9,458.02170760732656
0,DM (policy) 2,0,-1982.8219253915145
0,DM (policy) 2,1,-2820.6634130817797
0,DM (policy) 2,2,219.61779973315845
0,DM (policy) 2,3,557.9003771945621
0,DM (policy) 2,4,518.2948424989854
0,DM (policy) 2,5,549.9841974272481
0,DM (policy) 2,6,498.16742506818656
0,DM (policy) 2,7,434.60915234933145
0,DM (policy) 2,8,499.5839130464275
0,DM (policy) 2,9,452.24204288302684
1,DM (policy) 2,0,-3094.552210854694
1,DM (policy) 2,1,-308.1142363583565
1,DM (policy) 2,2,-31.164794836964603
1,DM (policy) 2,3,458.24123895963277
1,DM (policy) 2,4,423.3880553305349
1,DM (policy) 2,5,466.4136756403513
1,DM (policy) 2,6,389.4504832777809
1,DM (policy) 2,7,389.5435486405942
1,DM (policy) 2,8,358.9480184334942
1,DM (policy) 2,9,364.44987062597966
2,DM (policy) 2,0,-1606.1272823964762
2,DM (policy) 2,1,-1441.79632375663
2,DM (policy) 2,2,-2670.2489092861106
2,DM (policy) 2,3,-1636.741365918878
2,DM (policy) 2,4,88.87804528582964
2,DM (policy) 2,5,477.7536522429209
2,DM (policy) 2,6,502.0555369669217
2,DM (policy) 2,7,498.7968968840451
2,DM (policy) 2,8,488.2710967651186
2,DM (policy) 2,9,457.18881355533773
3,DM (policy) 2,0,-2955.191436002004
3,DM (policy) 2,1,-306.2907069507135
3,DM (policy) 2,2,363.4380039508024
3,DM (policy) 2,3,509.27893023441294
3,DM (policy) 2,4,527.6153670614813
3,DM (policy) 2,5,560.8575451628035
3,DM (policy) 2,6,485.4417606709973
3,DM (policy) 2,7,495.85127737287695
3,DM (policy) 2,8,509.26856333274196
3,DM (policy) 2,9,463.78068396422424
4,DM (policy) 2,0,-3370.7275281550797
4,DM (policy) 2,1,-360.67166225710247
4,DM (policy) 2,2,330.06724035582465
4,DM (policy) 2,3,575.1836402971214
4,DM (policy) 2,4,579.7581541375084
4,DM (policy) 2,5,584.4799969047859
4,DM (policy) 2,6,441.7722023005861
4,DM (policy) 2,7,492.1867963931717
4,DM (policy) 2,8,452.014052500891
4,DM (policy) 2,9,452.02677352700897
0,DM (policy) 3,0,-7559.791062127209
0,DM (policy) 3,1,-474.4052558673892
0,DM (policy) 3,2,495.93310172854984
0,DM (policy) 3,3,764.1931426428954
0,DM (policy) 3,4,664.0730122825497
0,DM (policy) 3,5,639.9572012402355
0,DM (policy) 3,6,746.5708784670862
0,DM (policy) 3,7,629.6114444181586
0,DM (policy) 3,8,608.3038307712818
0,DM (policy) 3,9,593.2502443260287
1,DM (policy) 3,0,-7258.127706360835
1,DM (policy) 3,1,-1316.3179822380266
1,DM (policy) 3,2,436.1178872151158
1,DM (policy) 3,3,713.1938795540257
1,DM (policy) 3,4,778.5135668999958
1,DM (policy) 3,5,739.480070262914
1,DM (policy) 3,6,723.0450954590226
1,DM (policy) 3,7,767.6471401144463
1,DM (policy) 3,8,658.6630223282199
1,DM (policy) 3,9,665.7779391607259
2,DM (policy) 3,0,-5313.59634975492
2,DM (policy) 3,1,-4114.536421377303
2,DM (policy) 3,2,240.39609995116078
2,DM (policy) 3,3,351.170754721835
2,DM (policy) 3,4,559.6565494803822
2,DM (policy) 3,5,677.0855476292337
2,DM (policy) 3,6,679.7994257218129
2,DM (policy) 3,7,664.9480332454149
2,DM (policy) 3,8,697.0369917686367
2,DM (policy) 3,9,737.3353295967028
3,DM (policy) 3,0,-5465.357354973703
3,DM (policy) 3,1,-1276.0073331745798
3,DM (policy) 3,2,359.72622944951655
3,DM (policy) 3,3,510.69680354556994
3,DM (policy) 3,4,538.4749607597397
3,DM (policy) 3,5,588.0187891092447
3,DM (policy) 3,6,580.6617187830612
3,DM (policy) 3,7,544.725452247434
3,DM (policy) 3,8,676.7649161853777
3,DM (policy) 3,9,745.774625535813
4,DM (policy) 3,0,-2251.4325780701683
4,DM (policy) 3,1,217.37312962230496
4,DM (policy) 3,2,485.6110457105075
4,DM (policy) 3,3,540.0992722806219
4,DM (policy) 3,4,677.6908648524646
4,DM (policy) 3,5,638.3076907185846
4,DM (policy) 3,6,571.680586597059
4,DM (policy) 3,7,551.6429403469106
4,DM (policy) 3,8,579.658962974159
4,DM (policy) 3,9,529.5913094650966
