Run,Agent,Iteration,Overbid Regret
0,DM (policy) 1,0,698.2130454009547
0,DM (policy) 1,1,130.17495369475347
0,DM (policy) 1,2,527.920928068583
0,DM (policy) 1,3,329.8089958312177
0,DM (policy) 1,4,382.9239307197374
0,DM (policy) 1,5,359.46634103292286
0,DM (policy) 1,6,382.6141694136486
0,DM (policy) 1,7,380.9536433863463
0,DM (policy) 1,8,396.73059233741276
0,DM (policy) 1,9,431.8478543521615
0,DM (policy) 2,0,742.4671587858543
0,DM (policy) 2,1,2276.8359104559277
0,DM (policy) 2,2,673.7688492481016
0,DM (policy) 2,3,565.9374709984293
0,DM (policy) 2,4,469.38020545742506
0,DM (policy) 2,5,524.3084235126969
0,DM (policy) 2,6,506.60422478368577
0,DM (policy) 2,7,466.1740529109516
0,DM (policy) 2,8,490.96008204523116
0,DM (policy) 2,9,541.612882637264
0,DM (policy) 3,0,3414.459485347853
0,DM (policy) 3,1,1010.325935916193
0,DM (policy) 3,2,826.8372362755576
0,DM (policy) 3,3,589.6868033867215
0,DM (policy) 3,4,607.381272296203
0,DM (policy) 3,5,585.1499803480959
0,DM (policy) 3,6,611.5477064501603
0,DM (policy) 3,7,672.32469904781
0,DM (policy) 3,8,657.6214537528213
0,DM (policy) 3,9,567.7377904581296
1,DM (policy) 1,0,625.4983632884121
1,DM (policy) 1,1,973.7437770222665
1,DM (policy) 1,2,600.4403302542856
1,DM (policy) 1,3,417.82128905958734
1,DM (policy) 1,4,356.3034064222512
1,DM (policy) 1,5,362.7353739979795
1,DM (policy) 1,6,342.7508658498035
1,DM (policy) 1,7,370.10431502501143
1,DM (policy) 1,8,391.0553538949678
1,DM (policy) 1,9,423.3189740946564
1,DM (policy) 2,0,1074.4881889422018
1,DM (policy) 2,1,360.9077824558715
1,DM (policy) 2,2,499.71961557247647
1,DM (policy) 2,3,354.22115286784225
1,DM (policy) 2,4,314.7231963330852
1,DM (policy) 2,5,362.5520526372695
1,DM (policy) 2,6,382.0542678337491
1,DM (policy) 2,7,343.58255069845916
1,DM (policy) 2,8,390.38840325430465
1,DM (policy) 2,9,367.8615801051755
1,DM (policy) 3,0,2439.9695433326333
1,DM (policy) 3,1,1186.108436301048
1,DM (policy) 3,2,768.7934564405048
1,DM (policy) 3,3,556.134692385798
1,DM (policy) 3,4,525.5349532963277
1,DM (policy) 3,5,509.249689740931
1,DM (policy) 3,6,565.1699422057227
1,DM (policy) 3,7,594.615918603204
1,DM (policy) 3,8,611.5077010809796
1,DM (policy) 3,9,601.4628360702422
2,DM (policy) 1,0,1655.6332102396977
2,DM (policy) 1,1,105.4441656349852
2,DM (policy) 1,2,286.8957321569197
2,DM (policy) 1,3,221.8790398226953
2,DM (policy) 1,4,418.7518020961518
2,DM (policy) 1,5,274.4357407137993
2,DM (policy) 1,6,313.24219221441695
2,DM (policy) 1,7,371.4793949835673
2,DM (policy) 1,8,334.5492056643119
2,DM (policy) 1,9,358.45294285755784
2,DM (policy) 2,0,516.4037319149759
2,DM (policy) 2,1,1246.662627854417
2,DM (policy) 2,2,2470.6312882468337
2,DM (policy) 2,3,1546.6399749284788
2,DM (policy) 2,4,479.14031368710783
2,DM (policy) 2,5,578.087397433776
2,DM (policy) 2,6,516.4187361066433
2,DM (policy) 2,7,485.03507228214164
2,DM (policy) 2,8,543.7624685916969
2,DM (policy) 2,9,497.5951084822548
2,DM (policy) 3,0,2225.4445703259817
2,DM (policy) 3,1,2528.4504944353325
2,DM (policy) 3,2,489.608600475968
2,DM (policy) 3,3,644.2583607751368
2,DM (policy) 3,4,795.9823523983657
2,DM (policy) 3,5,640.6108867279374
2,DM (policy) 3,6,634.8395322699098
2,DM (policy) 3,7,549.949364940144
2,DM (policy) 3,8,578.0042828969092
2,DM (policy) 3,9,647.8515058490275
3,DM (policy) 1,0,820.3194333468025
3,DM (policy) 1,1,652.9182691875706
3,DM (policy) 1,2,790.0630563678311
3,DM (policy) 1,3,452.18691585886677
3,DM (policy) 1,4,443.4237280180317
3,DM (policy) 1,5,350.0406923116401
3,DM (policy) 1,6,369.4323801372093
3,DM (policy) 1,7,332.05211676832994
3,DM (policy) 1,8,342.73159604991673
3,DM (policy) 1,9,291.3189612872378
3,DM (policy) 2,0,1014.2962460661176
3,DM (policy) 2,1,439.38248902888165
3,DM (policy) 2,2,403.2527189386929
3,DM (policy) 2,3,561.8616748399086
3,DM (policy) 2,4,396.2097027045364
3,DM (policy) 2,5,410.67324684484805
3,DM (policy) 2,6,365.3762315385378
3,DM (policy) 2,7,391.5793324791355
3,DM (policy) 2,8,431.646347041259
