Run,Iteration,Measure,Measure Name
0,0,13205.042541686144,Auction Revenue
0,1,5699.60736725586,Auction Revenue
0,2,3990.3229782490876,Auction Revenue
0,3,3640.944566812341,Auction Revenue
0,4,3684.5377512984937,Auction Revenue
0,5,3692.120909771079,Auction Revenue
0,6,3738.9634721008756,Auction Revenue
0,7,3858.402530865581,Auction Revenue
0,8,3871.9437761168947,Auction Revenue
0,9,3938.5474627208055,Auction Revenue
1,0,14019.596162882057,Auction Revenue
1,1,5875.684564657597,Auction Revenue
1,2,4004.962479679517,Auction Revenue
1,3,3582.0435346580193,Auction Revenue
1,4,3540.413246737381,Auction Revenue
1,5,3520.6235747142273,Auction Revenue
1,6,3670.40856834392,Auction Revenue
1,7,3690.1525552530957,Auction Revenue
1,8,3775.2982918787593,Auction Revenue
1,9,3820.017653110026,Auction Revenue
2,0,12886.085051414724,Auction Revenue
2,1,7303.520444107779,Auction Revenue
2,2,5949.832937540611,Auction Revenue
2,3,5104.982949877917,Auction Revenue
2,4,3973.498118991485,Auction Revenue
2,5,3792.6202322248664,Auction Revenue
2,6,3802.256657115123,Auction Revenue
2,7,3810.259819869439,Auction Revenue
2,8,3799.705501738207,Auction Revenue
2,9,3845.443274971701,Auction Revenue
3,0,12413.020914861821,Auction Revenue
3,1,5366.1240682530915,Auction Revenue
3,2,4001.6420734242934,Auction Revenue
3,3,3582.4695602139823,Auction Revenue
3,4,3421.954605227952,Auction Revenue
3,5,3356.6075445129973,Auction Revenue
3,6,3462.1577700467815,Auction Revenue
3,7,3549.687331185945,Auction Revenue
3,8,3586.131901269636,Auction Revenue
3,9,3693.09350173991,Auction Revenue
4,0,10454.999810373123,Auction Revenue
4,1,4201.088167693819,Auction Revenue
4,2,3438.779754042194,Auction Revenue
4,3,3358.544905329245,Auction Revenue
4,4,3320.518598042905,Auction Revenue
4,5,3532.665349165814,Auction Revenue
4,6,3662.214754109085,Auction Revenue
4,7,3707.573473840697,Auction Revenue
4,8,3741.873478586745,Auction Revenue
4,9,3839.045729660147,Auction Revenue
0,0,-11710.439682268161,Social Surplus
0,1,-3167.9568516411564,Social Surplus
0,2,1161.2054999577933,Social Surplus
0,3,1836.0278537118884,Social Surplus
0,4,1691.798527020217,Social Surplus
0,5,1698.8845796043413,Social Surplus
0,6,1753.8197850194701,Social Surplus
0,7,1538.7924206775133,Social Surplus
0,8,1648.8143347190676,Social Surplus
0,9,1500.164100468178,Social Surplus
1,0,-12851.001272956655,Social Surplus
1,1,-3259.0265547665267,Social Surplus
1,2,781.9673919142529,Social Surplus
1,3,1754.0588098982455,Social Surplus
1,4,1643.078251196315,Social Surplus
1,5,1771.1541105212254,Social Surplus
1,6,1494.3877551534233,Social Surplus
1,7,1675.139499505864,Social Surplus
1,8,1448.746925958538,Social Surplus
1,9,1502.038439396189,Social Surplus
2,0,-11446.735443569967,Social Surplus
2,1,-5495.036915282052,Social Surplus
2,2,-2206.660256638811,Social Surplus
2,3,-1018.0091477806984,Social Surplus
2,4,1014.1655821579809,Social Surplus
2,5,1586.2239450983557,Social Surplus
2,6,1646.6655829104589,Social Surplus
2,7,1591.903006847284,Social Surplus
2,8,1611.1036035867176,Social Surplus
2,9,1624.4123109317509,Social Surplus
3,0,-10706.331268190484,Social Surplus
3,1,-2358.688999168823,Social Surplus
3,2,428.267549297759,Social Surplus
3,3,1592.2564275863745,Social Surplus
3,4,1604.882008682789,Social Surplus
3,5,1728.243821064619,Social Surplus
3,6,1574.4126509829382,Social Surplus
3,7,1528.7980886863063,Social Surplus
3,8,1678.0929768232963,Social Surplus
3,9,1697.0772649512667,Social Surplus
4,0,-8945.165249231279,Social Surplus
4,1,-410.1413241617713,Social Surplus
4,2,1372.6933636115684,Social Surplus
