Run,Agent,Iteration,Underbid Regret
0,DM (policy) 1,0,14.94673216466868
0,DM (policy) 1,1,192.22857670911225
0,DM (policy) 1,2,71.54757776064503
0,DM (policy) 1,3,77.75168989337737
0,DM (policy) 1,4,61.19733029329666
0,DM (policy) 1,5,66.63907193118186
0,DM (policy) 1,6,61.027429500089575
0,DM (policy) 1,7,64.70207344895871
0,DM (policy) 1,8,68.65732420914509
0,DM (policy) 1,9,58.478885867861344
0,DM (policy) 2,0,39.119318469573656
0,DM (policy) 2,1,25.037585576491615
0,DM (policy) 2,2,121.39839486139556
0,DM (policy) 2,3,69.2490376302272
0,DM (policy) 2,4,102.5458969360609
0,DM (policy) 2,5,88.6839585196751
0,DM (policy) 2,6,93.61907751181313
0,DM (policy) 2,7,102.92482376523128
0,DM (policy) 2,8,97.69218572131903
0,DM (policy) 2,9,84.15955846723278
0,DM (policy) 3,0,19.363581997982592
0,DM (policy) 3,1,38.969830854352026
0,DM (policy) 3,2,73.25807046724893
0,DM (policy) 3,3,79.49488871525608
0,DM (policy) 3,4,66.5291863511369
0,DM (policy) 3,5,77.14623888300875
0,DM (policy) 3,6,71.70680110286004
0,DM (policy) 3,7,66.58126783649601
0,DM (policy) 3,8,78.70588325580647
0,DM (policy) 3,9,89.69914795667839
1,DM (policy) 1,0,1.8198748340676687
1,DM (policy) 1,1,21.959146287220317
1,DM (policy) 1,2,77.6986567991935
1,DM (policy) 1,3,66.31645867468184
1,DM (policy) 1,4,67.10451154121331
1,DM (policy) 1,5,63.54391970868535
1,DM (policy) 1,6,79.3840237438351
1,DM (policy) 1,7,66.64668563800844
1,DM (policy) 1,8,75.68050973612264
1,DM (policy) 1,9,60.120558655604356
1,DM (policy) 2,0,17.196217873047097
1,DM (policy) 2,1,75.06511189819696
1,DM (policy) 2,2,79.07797600591172
1,DM (policy) 2,3,106.64894949450346
1,DM (policy) 2,4,90.22726711683815
1,DM (policy) 2,5,87.03792610609206
1,DM (policy) 2,6,91.31247366144517
1,DM (policy) 2,7,98.31768119679796
1,DM (policy) 2,8,95.87869295656589
1,DM (policy) 2,9,104.68290907808574
1,DM (policy) 3,0,15.07051345740565
1,DM (policy) 3,1,22.765252241660395
1,DM (policy) 3,2,67.92943232879828
1,DM (policy) 3,3,71.10039996075116
1,DM (policy) 3,4,69.78981292796868
1,DM (policy) 3,5,79.52616689304458
1,DM (policy) 3,6,75.2887192315581
1,DM (policy) 3,7,72.86261914914209
1,DM (policy) 3,8,78.36257422125382
1,DM (policy) 3,9,79.75139130950939
2,DM (policy) 1,0,2.737772111237405
2,DM (policy) 1,1,134.48720742028954
2,DM (policy) 1,2,99.34247427803425
2,DM (policy) 1,3,118.54458550906473
2,DM (policy) 1,4,70.67989121267208
2,DM (policy) 1,5,96.70422302317318
2,DM (policy) 1,6,88.00885038503382
2,DM (policy) 1,7,58.92295577473763
2,DM (policy) 1,8,74.88067930116988
2,DM (policy) 1,9,72.84055196795956
2,DM (policy) 2,0,28.18178290246518
2,DM (policy) 2,1,51.75949156471695
2,DM (policy) 2,2,7.1105087653761325
2,DM (policy) 2,3,27.455646614868883
2,DM (policy) 2,4,97.02602705747043
2,DM (policy) 2,5,67.10759708992506
2,DM (policy) 2,6,80.73306860866808
2,DM (policy) 2,7,89.49598305268793
2,DM (policy) 2,8,86.75278608436196
2,DM (policy) 2,9,102.1864967764755
2,DM (policy) 3,0,19.491458297031983
2,DM (policy) 3,1,14.5299107298483
2,DM (policy) 3,2,202.5444764392705
2,DM (policy) 3,3,120.30498373572726
2,DM (policy) 3,4,63.6385122545322
2,DM (policy) 3,5,89.91265934659198
2,DM (policy) 3,6,78.07250114559186
2,DM (policy) 3,7,89.90106277202592
2,DM (policy) 3,8,84.1871981920634
2,DM (policy) 3,9,70.14081873679007
3,DM (policy) 1,0,6.578199421950402
3,DM (policy) 1,1,30.34946351070117
3,DM (policy) 1,2,42.87138484452517
3,DM (policy) 1,3,93.96576163542258
3,DM (policy) 1,4,65.60113834317053
3,DM (policy) 1,5,82.06502140363183
3,DM (policy) 1,6,74.94262400958524
3,DM (policy) 1,7,94.49274132179842
3,DM (policy) 1,8,77.62252789069598
3,DM (policy) 1,9,87.91116109597417
3,DM (policy) 2,0,15.59862234660293
3,DM (policy) 2,1,84.43552115858722
3,DM (policy) 2,2,127.04903799615819
3,DM (policy) 2,3,79.85516320439754
3,DM (policy) 2,4,93.1033187665738
3,DM (policy) 2,5,75.03687702766223
3,DM (policy) 2,6,80.64508533856346
3,DM (policy) 2,7,84.51608691621895
3,DM (policy) 2,8,74.03471034602251
3,DM (policy) 2,9,86.07712151801277
3,DM (policy) 3,0,47.75924966739841
3,DM (policy) 3,1,30.688235221170565
3,DM (policy) 3,2,92.59867379647693
3,DM (policy) 3,3,88.78355778040833
3,DM (policy) 3,4,80.43461033259233
3,DM (policy) 3,5,65.2606632667009
3,DM (policy) 3,6,69.57945307930595
3,DM (policy) 3,7,67.12567537252845
3,DM (policy) 3,8,88.63439506894275
3,DM (policy) 3,9,66.44749079078775
4,DM (policy) 1,0,5.881344928393164
4,DM (policy) 1,1,23.347465995583306
4,DM (policy) 1,2,61.98825568002226
4,DM (policy) 1,3,62.543446990643
4,DM (policy) 1,4,59.515218807861366
4,DM (policy) 1,5,77.60676091891071
4,DM (policy) 1,6,57.6717537444794
4,DM (policy) 1,7,77.16041879230285
4,DM (policy) 1,8,63.398401085053976
4,DM (policy) 1,9,73.14929051570397
4,DM (policy) 2,0,25.354540735654123
4,DM (policy) 2,1,38.350712171039255
4,DM (policy) 2,2,76.19337525213696
4,DM (policy) 2,3,68.6878941489974
4,DM (policy) 2,4,74.82533793382241
4,DM (policy) 2,5,84.62416293439634
4,DM (policy) 2,6,77.68155761721911
4,DM (policy) 2,7,75.71666492446485
4,DM (policy) 2,8,79.05648839421525
4,DM (policy) 2,9,87.70588551457212
4,DM (policy) 3,0,40.208861820619774
4,DM (policy) 3,1,111.73963651451976
4,DM (policy) 3,2,63.739042620760216
4,DM (policy) 3,3,81.0515343994194
4,DM (policy) 3,4,89.07320851457212
4,DM (policy) 3,5,59.79867022669175
4,DM (policy) 3,6,78.90447630768396
4,DM (policy) 3,7,64.53048662051421
4,DM (policy) 3,8,67.04851740585282
4,DM (policy) 3,9,64.44626766731024
