Run,Agent,Iteration,Gross Utility
0,DR 1,0,121.15962457804793
0,DR 1,1,217.52540989223658
0,DR 1,2,1077.6487844490475
0,DR 1,3,992.1011981226093
0,DR 1,4,1056.9729168392719
0,DR 1,5,1461.3897645531604
0,DR 1,6,1265.1114848761176
0,DR 1,7,1368.01298081731
0,DR 1,8,1529.5653127078242
0,DR 1,9,1357.7183092770047
1,DR 1,0,294.27992791821407
1,DR 1,1,421.5404822652782
1,DR 1,2,1203.7224269081894
1,DR 1,3,1319.2973559723278
1,DR 1,4,948.6669315618682
1,DR 1,5,935.4130257018742
1,DR 1,6,1125.1447266706966
1,DR 1,7,1108.0193421445194
1,DR 1,8,1049.7076085538915
1,DR 1,9,1485.7768033529364
2,DR 1,0,217.8737519594826
2,DR 1,1,765.6110229495098
2,DR 1,2,1532.5400251993096
2,DR 1,3,1624.0140031356439
2,DR 1,4,1770.9187151629176
2,DR 1,5,1913.7089267453841
2,DR 1,6,1926.3892281391925
2,DR 1,7,1876.6582610751705
2,DR 1,8,1920.8257613153653
2,DR 1,9,1797.4674835503436
3,DR 1,0,355.650222785357
3,DR 1,1,604.1318679438021
3,DR 1,2,740.7665846945497
3,DR 1,3,1121.9573090605004
3,DR 1,4,1062.084431022681
3,DR 1,5,1268.2456362123091
3,DR 1,6,1174.8802258159728
3,DR 1,7,1007.9126512843549
3,DR 1,8,1043.448831533351
3,DR 1,9,1063.6454678752928
4,DR 1,0,203.08525805063653
4,DR 1,1,408.44942014631675
4,DR 1,2,1708.108433899612
4,DR 1,3,1615.6514508249604
4,DR 1,4,1671.8536889936865
4,DR 1,5,1723.7781459645284
4,DR 1,6,1815.38949222182
4,DR 1,7,1881.1020225689194
4,DR 1,8,1836.7996923291416
4,DR 1,9,1808.215610214132
0,DR 2,0,729.5721267898056
0,DR 2,1,903.9140428235806
0,DR 2,2,1554.2961336251312
0,DR 2,3,1861.189121115528
0,DR 2,4,1551.871844822498
0,DR 2,5,1597.277605443731
0,DR 2,6,1653.0689718223691
0,DR 2,7,1567.741872697842
0,DR 2,8,1368.3535132703746
0,DR 2,9,1579.9709681785503
1,DR 2,0,588.0741437684078
1,DR 2,1,915.2844605840568
1,DR 2,2,1552.1350387585856
1,DR 2,3,1286.7024374317666
1,DR 2,4,1996.0815544613406
1,DR 2,5,2058.916999301562
1,DR 2,6,2001.1626776900707
1,DR 2,7,2088.420822639135
1,DR 2,8,2054.1961908422704
1,DR 2,9,2107.881247055712
2,DR 2,0,678.4564243222726
2,DR 2,1,806.4017167188492
2,DR 2,2,739.1211125140678
2,DR 2,3,1178.7916595423349
2,DR 2,4,1374.057674180752
2,DR 2,5,1618.29217225823
2,DR 2,6,1759.6289772819025
2,DR 2,7,1730.4406730847202
2,DR 2,8,1807.1844753837781
2,DR 2,9,1671.823123263509
3,DR 2,0,459.6299066644806
3,DR 2,1,887.3145259640698
3,DR 2,2,1460.1509838372056
3,DR 2,3,2106.0943771521156
3,DR 2,4,2237.7426063971648
3,DR 2,5,2212.9629697755245
3,DR 2,6,2161.5908323758435
3,DR 2,7,2218.6775971419693
3,DR 2,8,2146.9649542581624
3,DR 2,9,2238.215535172073
4,DR 2,0,479.7720537295094
4,DR 2,1,826.5310860899809
4,DR 2,2,621.7555629601358
4,DR 2,3,722.4739451637199
4,DR 2,4,976.7716339872837
4,DR 2,5,1086.1863619584856
4,DR 2,6,1125.9540164055788
4,DR 2,7,1340.8424965725706
4,DR 2,8,1330.123722241955
4,DR 2,9,1395.4419998434698
0,DR 3,0,953.1000627035461
0,DR 3,1,968.6824844951271
0,DR 3,2,2266.387221249985
0,DR 3,3,2476.1804898204673
0,DR 3,4,2652.6488864349662
0,DR 3,5,2364.0606916789234
0,DR 3,6,2468.6495624987747
0,DR 3,7,2400.1877044042308
0,DR 3,8,2450.388301104406
0,DR 3,9,2329.088214260106
1,DR 3,0,924.7021276050677
1,DR 3,1,978.3443535020322
1,DR 3,2,2141.5532132469275
1,DR 3,3,2534.3649776734437
1,DR 3,4,2259.1863657243425
1,DR 3,5,2295.9276606858843
1,DR 3,6,2150.7265041420337
1,DR 3,7,2279.2361960622443
1,DR 3,8,2173.013800540048
1,DR 3,9,1794.3406460133579
2,DR 3,0,1188.745006590003
2,DR 3,1,837.3568720275249
2,DR 3,2,1147.7491185536408
2,DR 3,3,1562.709663367234
2,DR 3,4,1992.0421681827515
2,DR 3,5,1731.1649775971969
2,DR 3,6,1626.4463440244003
2,DR 3,7,1663.520509565492
2,DR 3,8,1675.7538498683386
2,DR 3,9,1893.917603794639
3,DR 3,0,903.1049968829284
3,DR 3,1,1407.6714028554154
3,DR 3,2,1110.9257085566094
3,DR 3,3,2053.430871784197
3,DR 3,4,1963.9921014765212
3,DR 3,5,1856.4097142378112
3,DR 3,6,1901.7119472988347
3,DR 3,7,2074.3064534661066
3,DR 3,8,2137.1631062932315
3,DR 3,9,1995.546838965094
4,DR 3,0,705.1311879885795
4,DR 3,1,1121.8796250650566
4,DR 3,2,2217.2158869068585
4,DR 3,3,2607.717726138835
4,DR 3,4,2551.792062572927
4,DR 3,5,2426.0314464628505
4,DR 3,6,2313.7966817589163
4,DR 3,7,2083.880362844366
4,DR 3,8,2164.7396234913663
4,DR 3,9,2255.3047214913713
