Run,Agent,Iteration,Net Utility
0,DR 1,0,-2168.295419379049
0,DR 1,1,-282.57385062664315
0,DR 1,2,154.1268402113651
0,DR 1,3,327.7166156907346
0,DR 1,4,353.09085082761754
0,DR 1,5,382.7332009211158
0,DR 1,6,360.5209418200435
0,DR 1,7,391.35461757269735
0,DR 1,8,363.74345880348
0,DR 1,9,451.6711647343616
1,DR 1,0,-2791.2704224346185
1,DR 1,1,-185.55235918105572
1,DR 1,2,-119.44818871134987
1,DR 1,3,463.98494850553163
1,DR 1,4,327.20768386721056
1,DR 1,5,363.06813324187306
1,DR 1,6,245.39326303162258
1,DR 1,7,352.7505071101778
1,DR 1,8,322.75125783880645
1,DR 1,9,327.63592689728915
2,DR 1,0,-1770.6613057968827
2,DR 1,1,-3060.6150200244047
2,DR 1,2,-3108.0437752029793
2,DR 1,3,-1211.6095882583231
2,DR 1,4,-5.583358306880577
2,DR 1,5,-0.529075476625629
2,DR 1,6,48.53426972734868
2,DR 1,7,11.06424750725923
2,DR 1,8,41.52771363593882
2,DR 1,9,65.74029817868426
3,DR 1,0,-3809.169689604834
3,DR 1,1,-1137.5555319792531
3,DR 1,2,-2489.2676651268353
3,DR 1,3,446.16266338788927
3,DR 1,4,425.6512494133766
3,DR 1,5,411.960647088913
3,DR 1,6,379.0536947551201
3,DR 1,7,339.1027665142499
3,DR 1,8,400.85772985853873
3,DR 1,9,382.87543577110534
4,DR 1,0,-3448.6532859758872
4,DR 1,1,-264.9615027592558
4,DR 1,2,237.94010860409918
4,DR 1,3,467.41476402969056
4,DR 1,4,623.3560615059289
4,DR 1,5,610.0583120770355
4,DR 1,6,661.0640531050319
4,DR 1,7,605.7450512785758
4,DR 1,8,493.8463684297363
4,DR 1,9,493.16215156198876
0,DR 2,0,-4278.652196447405
0,DR 2,1,-1559.1205267908895
0,DR 2,2,108.95640724990191
0,DR 2,3,56.01686681073052
0,DR 2,4,346.4329079267022
0,DR 2,5,443.7354072755037
0,DR 2,6,359.8334928445058
0,DR 2,7,317.46590030190765
0,DR 2,8,398.9503900068052
0,DR 2,9,396.55181545003205
1,DR 2,0,-2763.381390928193
1,DR 2,1,-3681.7409973745316
1,DR 2,2,0.527310064127666
1,DR 2,3,234.77078419545379
1,DR 2,4,-122.26733071098747
1,DR 2,5,55.80888999046175
1,DR 2,6,-64.94130923778336
1,DR 2,7,99.4728844937421
1,DR 2,8,-53.7588978585551
1,DR 2,9,-4.649572340665991
2,DR 2,0,-2371.2845368749354
2,DR 2,1,-448.0253442030398
2,DR 2,2,244.5359449843845
2,DR 2,3,369.6434021829583
2,DR 2,4,312.4319968215784
2,DR 2,5,381.3351305034194
2,DR 2,6,381.0872149165347
2,DR 2,7,356.0213354608731
2,DR 2,8,369.55882759261414
2,DR 2,9,284.69570946435476
3,DR 2,0,-1400.5520516602217
3,DR 2,1,-1022.4454625724406
3,DR 2,2,-70.89821761273636
3,DR 2,3,61.08446582427678
3,DR 2,4,12.515434117546642
3,DR 2,5,-6.833975026038976
3,DR 2,6,-13.191835382395649
3,DR 2,7,-7.300281700563201
3,DR 2,8,22.576725309761443
3,DR 2,9,-24.65418449856651
4,DR 2,0,-2699.8001122152255
4,DR 2,1,-2574.620504621787
4,DR 2,2,182.64614526444743
4,DR 2,3,357.73026834511046
4,DR 2,4,415.9258138589073
4,DR 2,5,445.15951916821507
4,DR 2,6,406.1444944336473
4,DR 2,7,462.0033508102957
4,DR 2,8,476.95885456014173
4,DR 2,9,436.57322877987485
0,DR 3,0,-6123.900552090652
0,DR 3,1,-2911.2690905609425
0,DR 3,2,44.571990839645586
0,DR 3,3,91.75211310930054
0,DR 3,4,-47.39811284112594
0,DR 3,5,469.5913220043949
0,DR 3,6,502.5444651897102
0,DR 3,7,422.7476168174365
0,DR 3,8,317.77368844007583
0,DR 3,9,587.772833581597
1,DR 3,0,-4192.191018210975
1,DR 3,1,-305.9688175211005
1,DR 3,2,-127.3488054231209
1,DR 3,3,-5.762393066435133
1,DR 3,4,-3.355950823332623
1,DR 3,5,5.865249599077864
1,DR 3,6,18.37647593701886
1,DR 3,7,107.26740182910011
1,DR 3,8,48.969868021446715
1,DR 3,9,264.3239733027102
2,DR 3,0,-6791.654726928653
2,DR 3,1,-498.59310948914015
2,DR 3,2,311.18665611430504
2,DR 3,3,450.2633112776446
2,DR 3,4,461.8544680834937
2,DR 3,5,585.6107527930867
2,DR 3,6,489.7055189316644
2,DR 3,7,439.4718800671928
2,DR 3,8,521.7683759471971
2,DR 3,9,463.3111191917932
3,DR 3,0,-5268.867640379503
3,DR 3,1,-440.5252108424702
3,DR 3,2,332.894282600448
3,DR 3,3,613.8620897324707
3,DR 3,4,617.4327954590935
3,DR 3,5,620.1708944701974
3,DR 3,6,536.6429138441889
3,DR 3,7,666.7727832560811
3,DR 3,8,602.4327349796184
3,DR 3,9,681.560374869889
4,DR 3,0,-5263.759268486545
4,DR 3,1,-1546.5164870777999
4,DR 3,2,-317.8478102553144
4,DR 3,3,6.193485239661477
4,DR 3,4,528.8754261276437
4,DR 3,5,699.4960779798812
4,DR 3,6,627.3635547272722
4,DR 3,7,701.2133675221517
4,DR 3,8,671.7373775989627
4,DR 3,9,603.8386326518275
