Run,Agent,Iteration,Overbid Regret
0,DR 1,0,575.3782166094779
0,DR 1,1,211.21528622908983
0,DR 1,2,418.8439549434007
0,DR 1,3,295.61147832990423
0,DR 1,4,276.7449707077229
0,DR 1,5,416.39976205424534
0,DR 1,6,345.5960991369618
0,DR 1,7,347.16379736866486
0,DR 1,8,448.7039889288098
0,DR 1,9,330.74004554582075
0,DR 2,0,1280.2243873797584
0,DR 2,1,1220.889919517499
0,DR 2,2,697.2903083441548
0,DR 2,3,863.5565777440443
0,DR 2,4,534.4936339420153
0,DR 2,5,453.5617514327134
0,DR 2,6,480.98230075390825
0,DR 2,7,484.7852067226573
0,DR 2,8,355.0830159266482
0,DR 2,9,446.3817649042426
0,DR 3,0,2107.8326979121275
0,DR 3,1,2088.9825206899927
0,DR 3,2,1205.6648920824098
0,DR 3,3,1243.7653218609844
0,DR 3,4,1477.9438328526526
0,DR 3,5,854.0403204544932
0,DR 3,6,873.011840669014
0,DR 3,7,873.9559377702988
0,DR 3,8,982.2006511875883
0,DR 3,9,722.1787549766916
1,DR 1,0,960.7581491027181
1,DR 1,1,308.93391936473563
1,DR 1,2,502.9637076764752
1,DR 1,3,491.8471156691536
1,DR 1,4,244.06250276031454
1,DR 1,5,231.1196658901398
1,DR 1,6,321.26698902538624
1,DR 1,7,284.25931723609705
1,DR 1,8,281.2720633126017
1,DR 1,9,434.98433516858904
1,DR 2,0,992.3807969838999
1,DR 2,1,2938.1220793001908
1,DR 2,2,622.5760825024993
1,DR 2,3,501.3440514294087
1,DR 2,4,1025.234961879546
1,DR 2,5,974.1829513942823
1,DR 2,6,929.5370733750069
1,DR 2,7,901.4802266768314
1,DR 2,8,957.2803543455485
1,DR 2,9,904.8503093779043
1,DR 3,0,1637.5788974450202
1,DR 3,1,695.8424990570427
1,DR 3,2,1050.755482344102
1,DR 3,3,1566.2284631322273
1,DR 3,4,1146.244482080449
1,DR 3,5,1162.1334387018298
1,DR 3,6,978.9268302056519
1,DR 3,7,1055.404521580694
1,DR 3,8,1018.9182182681199
1,DR 3,9,649.8275171942711
2,DR 1,0,604.4356463588474
2,DR 1,1,1622.526336224034
2,DR 1,2,2961.0212754282147
2,DR 1,3,1391.9498274726961
2,DR 1,4,838.2673975212351
2,DR 1,5,937.2537167018768
2,DR 1,6,911.7373214459571
2,DR 1,7,904.3450174023715
2,DR 1,8,900.8750553886991
2,DR 1,9,819.2394926978745
2,DR 2,0,783.1792540518386
2,DR 2,1,494.1629626034374
2,DR 2,2,212.23972177923815
2,DR 2,3,307.35190019798677
2,DR 2,4,422.9807608115251
2,DR 2,5,507.96741572681117
2,DR 2,6,579.4878771006859
2,DR 2,7,592.9540957472288
2,DR 2,8,618.2837351136345
2,DR 2,9,568.730776239649
2,DR 3,0,2856.0257171232493
2,DR 3,1,541.0156924769153
2,DR 3,2,393.9937926319009
2,DR 3,3,428.83554721382507
2,DR 3,4,603.5755071858828
2,DR 3,5,443.14801982604
2,DR 3,6,443.80354727662893
2,DR 3,7,481.3605859825483
2,DR 3,8,440.57415254250225
2,DR 3,9,555.3787747877853
3,DR 1,0,1638.4550476905792
3,DR 1,1,773.6389926344484
3,DR 1,2,1679.995122169725
3,DR 1,3,296.16960823398233
3,DR 1,4,253.14899620219134
3,DR 1,5,361.24903379501023
3,DR 1,6,308.68030536512185
3,DR 1,7,258.86456308829617
3,DR 1,8,245.66403605808267
3,DR 1,9,262.9927600141028
3,DR 2,0,620.5389859065476
3,DR 2,1,802.1260572665531
3,DR 2,2,617.650331597684
3,DR 2,3,1014.8664907353793
3,DR 2,4,1126.936901489933
3,DR 2,5,1055.2969663305116
3,DR 2,6,1021.2835441311502
3,DR 2,7,1035.8420819828325
3,DR 2,8,1011.8890225323769
3,DR 2,9,1090.079939316843
3,DR 3,0,2310.0271733172285
3,DR 3,1,797.1862313277005
3,DR 3,2,293.269414307235
3,DR 3,3,690.4196464092671
3,DR 3,4,628.9579893141652
3,DR 3,5,521.791331809084
3,DR 3,6,604.363735738021
3,DR 3,7,584.5706120549596
3,DR 3,8,657.3089307382172
3,DR 3,9,576.8730376171654
4,DR 1,0,936.9260195713257
4,DR 1,1,267.0623160785504
4,DR 1,2,798.2392697232506
4,DR 1,3,609.086293156034
4,DR 1,4,530.0236197887828
4,DR 1,5,533.605912075705
4,DR 1,6,559.8509025155403
4,DR 1,7,599.0367390596084
4,DR 1,8,636.5174716380964
4,DR 1,9,584.7525775313393
4,DR 2,0,725.5936733502429
4,DR 2,1,1570.8782405162121
4,DR 2,2,189.13896507986
4,DR 2,3,161.8032180415101
4,DR 2,4,256.8405938877304
4,DR 2,5,279.3707201008025
4,DR 2,6,304.7482896854618
4,DR 2,7,384.20253396020183
4,DR 2,8,373.5819779853797
4,DR 2,9,389.0853957562217
4,DR 3,0,1548.7544334598756
4,DR 3,1,1140.2438968435983
4,DR 3,2,1565.4834563309892
4,DR 3,3,1643.3072910911183
4,DR 3,4,1207.2897697577114
4,DR 3,5,968.9904781784498
4,DR 3,6,925.7711385400261
4,DR 3,7,711.4475274491017
4,DR 3,8,757.7026471577856
4,DR 3,9,807.2562652746578
