Run,Agent,Iteration,Underbid Regret
0,DR 1,0,3.078284509596804
0,DR 1,1,66.11295473130423
0,DR 1,2,102.25112076977197
0,DR 1,3,164.74457717304608
0,DR 1,4,167.03827069543985
0,DR 1,5,96.5879458115912
0,DR 1,6,95.06255841192339
0,DR 1,7,105.74307680312809
0,DR 1,8,78.88831118508077
0,DR 1,9,105.92949583574247
0,DR 2,0,0.5085171401512032
0,DR 2,1,25.576621982799562
0,DR 2,2,83.42510091583189
0,DR 2,3,79.38500714755445
0,DR 2,4,134.53195217118596
0,DR 2,5,133.33767896978424
0,DR 2,6,109.16166119126382
0,DR 2,7,121.43882600109538
0,DR 2,8,168.36144825257128
0,DR 2,9,109.8042512184049
0,DR 3,0,13.143259554267077
0,DR 3,1,9.544021464399567
0,DR 3,2,53.56695782946298
0,DR 3,3,45.057329008759865
0,DR 3,4,32.19560310077391
0,DR 3,5,53.168779278173474
0,DR 3,6,45.209942917607414
0,DR 3,7,60.503528206873476
0,DR 3,8,43.62542506683843
0,DR 3,9,57.305207381698224
1,DR 1,0,3.977793138193289
1,DR 1,1,48.59846608375622
1,DR 1,2,70.28079058663236
1,DR 1,3,123.26143933782602
1,DR 1,4,188.1084706628136
1,DR 1,5,206.31762178081152
1,DR 1,6,127.41321560786021
1,DR 1,7,154.14458139464955
1,DR 1,8,156.80723615959175
1,DR 1,9,90.02319621251763
1,DR 2,0,15.7977434988242
1,DR 2,1,14.01570477396669
1,DR 2,2,117.19463685154462
1,DR 2,3,338.27519358398393
1,DR 2,4,56.202072488181614
1,DR 2,5,61.93134670339227
1,DR 2,6,65.64910320230983
1,DR 2,7,70.57418930990377
1,DR 2,8,59.015009662360484
1,DR 2,9,56.511266680002144
1,DR 3,0,21.593480364384916
1,DR 3,1,80.20702364209771
1,DR 3,2,46.835763274825354
1,DR 3,3,30.985053670526256
1,DR 3,4,50.904757136514846
1,DR 3,5,51.61607486986457
1,DR 3,6,58.71223421957045
1,DR 3,7,52.07256973839861
1,DR 3,8,49.895599184293474
1,DR 3,9,100.64112348005389
2,DR 1,0,5.933514510806916
2,DR 1,1,55.715338963153165
2,DR 1,2,8.634080966632805
2,DR 1,3,21.36356917317218
2,DR 1,4,56.438130937283205
2,DR 1,5,51.427113495720434
2,DR 1,6,60.209866013589924
2,DR 1,7,53.78637570871656
2,DR 1,8,51.39966997978237
2,DR 1,9,61.857654531070125
2,DR 2,0,15.916634568963659
2,DR 2,1,68.78745907343301
2,DR 2,2,284.64253345094073
2,DR 2,3,204.4472463549003
2,DR 2,4,146.5608846249177
2,DR 2,5,121.26335167413465
2,DR 2,6,102.59959865163496
2,DR 2,7,122.55115899462311
2,DR 2,8,115.61235209427832
2,DR 2,9,126.49023208317811
2,DR 3,0,10.959934184245238
2,DR 3,1,59.11700718592495
2,DR 3,2,168.4878728446945
2,DR 3,3,156.2689052294292
2,DR 3,4,102.68901447537364
2,DR 3,5,143.12059042335076
2,DR 3,6,151.42598524933257
2,DR 3,7,136.52919058242128
2,DR 3,8,167.40885898291367
2,DR 3,9,109.28897414843004
3,DR 1,0,6.99433416322711
3,DR 1,1,79.41797253476528
3,DR 1,2,37.1122032304463
3,DR 1,3,210.35406790219824
3,DR 1,4,210.09421730751728
3,DR 1,5,147.4263233646
3,DR 1,6,169.01812166861805
3,DR 1,7,195.08270317136044
3,DR 1,8,207.30295166772038
3,DR 1,9,187.8229048574958
3,DR 2,0,17.006864316642215
3,DR 2,1,64.26288971604144
3,DR 2,2,118.62512949632008
3,DR 2,3,47.592286232039406
3,DR 2,4,42.80888486217553
3,DR 2,5,49.3268680380191
3,DR 2,6,51.41875991898804
3,DR 2,7,44.93470345619966
3,DR 2,8,45.2335011591925
3,DR 2,9,46.881406530222435
3,DR 3,0,24.636970166512487
3,DR 3,1,76.05610728418758
3,DR 3,2,198.9684203097172
3,DR 3,3,90.83366037134613
3,DR 3,4,134.32759188270398
3,DR 3,5,147.22829447615322
3,DR 3,6,122.88512297383595
3,DR 3,7,111.42594769030595
3,DR 3,8,106.34891610907835
3,DR 3,9,135.29506111130064
4,DR 1,0,4.484111152734984
4,DR 1,1,74.47961594975983
4,DR 1,2,57.36127444372342
4,DR 1,3,87.18331971519493
4,DR 1,4,95.04729807445364
4,DR 1,5,84.179636225669
4,DR 1,6,78.09783911716656
4,DR 1,7,69.98811472074507
4,DR 1,8,69.57485877758191
4,DR 1,9,77.76761262794811
4,DR 2,0,18.913948713894893
4,DR 2,1,26.968838543133128
4,DR 2,2,210.50826620974445
4,DR 2,3,257.52376266932987
4,DR 2,4,183.55406546861633
4,DR 2,5,164.77846908979566
4,DR 2,6,177.5001574203655
4,DR 2,7,164.90548109440363
4,DR 2,8,190.40143299270926
4,DR 2,9,191.3055042288382
4,DR 3,0,18.37143754783512
4,DR 3,1,35.1162506902958
4,DR 3,2,28.463024375423622
4,DR 3,3,37.14160126804829
4,DR 3,4,77.41021197719431
4,DR 3,5,92.65836639523523
4,DR 3,6,108.79154438681223
4,DR 3,7,151.35471339328024
4,DR 3,8,135.08418042019792
4,DR 3,9,106.41333228133098
