Run,Agent,Iteration,Gross Utility
0,IPS 1,0,273.7744925213103
0,IPS 1,1,484.81604876121105
0,IPS 1,2,599.0687522068993
0,IPS 1,3,653.4456910721315
0,IPS 1,4,501.53592246709553
0,IPS 1,5,691.1913269297111
0,IPS 1,6,523.127899208186
0,IPS 1,7,547.4755457353596
0,IPS 1,8,680.3238008788177
0,IPS 1,9,661.0547749063076
1,IPS 1,0,325.82781335031393
1,IPS 1,1,1078.425321773952
1,IPS 1,2,1853.0348103409506
1,IPS 1,3,1943.8578792536366
1,IPS 1,4,1820.6194862835096
1,IPS 1,5,1287.117053046284
1,IPS 1,6,1084.0072115671553
1,IPS 1,7,1182.5789166050479
1,IPS 1,8,1094.1028043074853
1,IPS 1,9,1150.6330591806186
2,IPS 1,0,150.52278646390215
2,IPS 1,1,1653.992466538604
2,IPS 1,2,2160.7053701280256
2,IPS 1,3,2318.0292178409914
2,IPS 1,4,2181.1050915080846
2,IPS 1,5,2369.9242531989676
2,IPS 1,6,2351.491975476996
2,IPS 1,7,2341.6046369060296
2,IPS 1,8,2415.663978220419
2,IPS 1,9,2354.9944524449197
3,IPS 1,0,435.56843789619296
3,IPS 1,1,1345.8354857888464
3,IPS 1,2,1722.8675941205788
3,IPS 1,3,2078.521836588308
3,IPS 1,4,1993.2720977904326
3,IPS 1,5,1970.8298975033988
3,IPS 1,6,2029.127923368669
3,IPS 1,7,1973.784734869549
3,IPS 1,8,2025.11822549352
3,IPS 1,9,2098.817681214394
4,IPS 1,0,296.0850480451818
4,IPS 1,1,1066.6514395646582
4,IPS 1,2,1175.7620384648724
4,IPS 1,3,1233.6710665223675
4,IPS 1,4,1142.3991630917417
4,IPS 1,5,1258.8925204974437
4,IPS 1,6,1459.811262609888
4,IPS 1,7,1454.2803953830748
4,IPS 1,8,1515.9323634458117
4,IPS 1,9,1399.6409091733558
0,IPS 2,0,292.5542439304202
0,IPS 2,1,1518.875116135166
0,IPS 2,2,2284.4503605918862
0,IPS 2,3,2516.414232383352
0,IPS 2,4,2412.9205778205505
0,IPS 2,5,2620.7854117133493
0,IPS 2,6,2691.9366655243757
0,IPS 2,7,2531.479422430105
0,IPS 2,8,2618.0630169685714
0,IPS 2,9,2635.08999809857
1,IPS 2,0,709.1665615730069
1,IPS 2,1,803.9746142483626
1,IPS 2,2,1807.8667872884157
1,IPS 2,3,1871.9747999411632
1,IPS 2,4,1788.0734064426565
1,IPS 2,5,2096.248806365371
1,IPS 2,6,2185.5240796449652
1,IPS 2,7,2161.6044672234966
1,IPS 2,8,2130.4314106355664
1,IPS 2,9,2124.5527141618754
2,IPS 2,0,563.4211178162533
2,IPS 2,1,978.3552613370739
2,IPS 2,2,1219.8819926876681
2,IPS 2,3,1315.701265153543
2,IPS 2,4,1167.2131027074724
2,IPS 2,5,1134.8837895808176
2,IPS 2,6,1153.559778058616
2,IPS 2,7,1158.8436047438504
2,IPS 2,8,1168.1874068383306
2,IPS 2,9,1180.8492257690255
3,IPS 2,0,673.1555105692823
3,IPS 2,1,1486.0471560460753
3,IPS 2,2,1962.5420314128237
3,IPS 2,3,2071.8451599650984
3,IPS 2,4,2139.7275114509
3,IPS 2,5,2203.4717441388657
3,IPS 2,6,2156.8357018278184
3,IPS 2,7,2143.6649409480938
3,IPS 2,8,2074.5341760380425
3,IPS 2,9,2085.061544639152
4,IPS 2,0,862.3605821707521
4,IPS 2,1,732.139084404812
4,IPS 2,2,1301.3227761300045
4,IPS 2,3,1298.1370990147632
4,IPS 2,4,1352.2972935952168
4,IPS 2,5,1427.2894153321986
4,IPS 2,6,1305.5447489499352
4,IPS 2,7,1411.1677128714573
4,IPS 2,8,1414.5049014913773
4,IPS 2,9,1356.0248591756424
0,IPS 3,0,1043.048086969093
0,IPS 3,1,1190.5959724774993
0,IPS 3,2,1840.6258374973993
0,IPS 3,3,1885.3503099927348
0,IPS 3,4,1850.889734978314
0,IPS 3,5,1891.2233624482403
0,IPS 3,6,1926.3925640344617
0,IPS 3,7,2038.1597543246155
