Run,Agent,Iteration,Net Utility
0,IPS 1,0,-2432.5644404390105
0,IPS 1,1,-798.538764108643
0,IPS 1,2,274.646866536173
0,IPS 1,3,307.0988924545444
0,IPS 1,4,-22.283715641636135
0,IPS 1,5,413.596890588275
0,IPS 1,6,343.77676846372697
0,IPS 1,7,373.11602635528345
0,IPS 1,8,428.3960551539509
0,IPS 1,9,418.6668730568133
1,IPS 1,0,-2271.604773640492
1,IPS 1,1,-869.3545910296291
1,IPS 1,2,-96.21922533971386
1,IPS 1,3,70.81639351547311
1,IPS 1,4,-118.86877995956296
1,IPS 1,5,367.1424876186609
1,IPS 1,6,351.26478902210306
1,IPS 1,7,430.4627022182767
1,IPS 1,8,379.58405809217993
1,IPS 1,9,402.891269095355
2,IPS 1,0,-1458.8029833928379
2,IPS 1,1,-245.6397849177808
2,IPS 1,2,-10.523646711971999
2,IPS 1,3,30.885422263286358
2,IPS 1,4,-34.258656712582074
2,IPS 1,5,57.72272487745239
2,IPS 1,6,6.216279080605517
2,IPS 1,7,18.799397329237145
2,IPS 1,8,-30.11922369026786
2,IPS 1,9,11.927690460616581
3,IPS 1,0,-2279.661579905521
3,IPS 1,1,89.34426267653816
3,IPS 1,2,101.78627421732448
3,IPS 1,3,43.0040577827381
3,IPS 1,4,-112.13307882005017
3,IPS 1,5,51.67085428881758
3,IPS 1,6,18.46788795548697
3,IPS 1,7,-23.34814954642354
3,IPS 1,8,11.180211639841485
3,IPS 1,9,22.876219740366736
4,IPS 1,0,-1739.6421226396103
4,IPS 1,1,178.75708537639068
4,IPS 1,2,456.24849906027504
4,IPS 1,3,486.89218874346915
4,IPS 1,4,479.0861087897239
4,IPS 1,5,523.444326573519
4,IPS 1,6,567.9220773273306
4,IPS 1,7,590.1010527885795
4,IPS 1,8,551.7719189417228
4,IPS 1,9,580.9674825032829
0,IPS 2,0,-2261.2837930587552
0,IPS 2,1,-1040.0312689420318
0,IPS 2,2,-139.08883881549033
0,IPS 2,3,23.731585686900427
0,IPS 2,4,88.81179478011879
0,IPS 2,5,149.2259851868512
0,IPS 2,6,73.0496281856812
0,IPS 2,7,40.060134901054724
0,IPS 2,8,199.4871676124242
0,IPS 2,9,140.73011521226346
1,IPS 2,0,-4740.920773461729
1,IPS 2,1,-2029.8594250597919
1,IPS 2,2,-99.49857681726469
1,IPS 2,3,114.58016363993985
1,IPS 2,4,-110.89090872287487
1,IPS 2,5,77.73001587192195
1,IPS 2,6,-42.36145747695643
1,IPS 2,7,126.12061265348504
1,IPS 2,8,29.75728449543224
1,IPS 2,9,69.52078623617666
2,IPS 2,0,-4054.781729121661
2,IPS 2,1,-1.0567138071265425
2,IPS 2,2,482.11556092901884
2,IPS 2,3,530.6866084427138
2,IPS 2,4,425.5349891691657
2,IPS 2,5,477.14841343526956
2,IPS 2,6,492.5156835719508
2,IPS 2,7,466.9336418265484
2,IPS 2,8,517.0617990470547
2,IPS 2,9,507.55987781509657
3,IPS 2,0,-3139.628446122879
3,IPS 2,1,-221.99649686887582
3,IPS 2,2,-116.47250979361989
3,IPS 2,3,-7.581578051720286
3,IPS 2,4,13.60735119078921
3,IPS 2,5,-12.531087763243018
3,IPS 2,6,4.399216915437593
3,IPS 2,7,10.992460600738927
3,IPS 2,8,56.90908309103846
3,IPS 2,9,32.1942587129875
4,IPS 2,0,-3919.483132516106
4,IPS 2,1,-564.4321880710902
4,IPS 2,2,402.8877696015764
4,IPS 2,3,462.2782339607894
4,IPS 2,4,484.0392276155895
4,IPS 2,5,536.6471482745577
4,IPS 2,6,480.71309431078583
4,IPS 2,7,520.8777861145231
4,IPS 2,8,515.2544578368787
4,IPS 2,9,517.237541458616
0,IPS 3,0,-4877.67454834084
0,IPS 3,1,-395.203324017003
0,IPS 3,2,655.2840470165216
0,IPS 3,3,701.514414650614
0,IPS 3,4,576.254875630295
0,IPS 3,5,702.3944765856907
0,IPS 3,6,761.9790193671024
0,IPS 3,7,772.9476404289268
0,IPS 3,8,739.6331650279144
0,IPS 3,9,734.3495573429061
1,IPS 3,0,-3935.614025434083
1,IPS 3,1,-242.82356072696138
1,IPS 3,2,204.05201552593618
1,IPS 3,3,405.6762710075984
1,IPS 3,4,405.36506826048765
1,IPS 3,5,464.056106959764
1,IPS 3,6,490.61940305328227
1,IPS 3,7,522.2025885665354
1,IPS 3,8,493.73486451339556
1,IPS 3,9,484.96307992958526
2,IPS 3,0,-4324.106025167805
2,IPS 3,1,-253.62008355676807
2,IPS 3,2,770.7825138519523
2,IPS 3,3,744.0044640123365
2,IPS 3,4,689.8287998920497
2,IPS 3,5,730.5740622999629
2,IPS 3,6,708.0740562971313
2,IPS 3,7,694.8812076086971
2,IPS 3,8,690.660255509098
2,IPS 3,9,813.4443223623948
3,IPS 3,0,-2839.843817454383
3,IPS 3,1,232.69218861711911
3,IPS 3,2,428.3141119408778
3,IPS 3,3,519.0248697778715
3,IPS 3,4,456.28615079897463
3,IPS 3,5,467.9999037762741
3,IPS 3,6,426.4833630468558
3,IPS 3,7,475.7148550321902
3,IPS 3,8,471.19093081624715
3,IPS 3,9,477.9000773490617
4,IPS 3,0,-4483.534393174651
4,IPS 3,1,-1008.110764976253
4,IPS 3,2,-59.81320656996859
4,IPS 3,3,-44.978127003870796
4,IPS 3,4,89.29875714221822
4,IPS 3,5,231.63216181231888
4,IPS 3,6,193.76114923883253
4,IPS 3,7,301.9496151611346
4,IPS 3,8,425.8655963749263
4,IPS 3,9,292.88944144522026
