Run,Agent,Iteration,Overbid Regret
0,IPS 1,0,786.2666089302287
0,IPS 1,1,572.7743881705143
0,IPS 1,2,135.67465757441232
0,IPS 1,3,119.49762272627585
0,IPS 1,4,179.51789005389142
0,IPS 1,5,90.83343911316601
0,IPS 1,6,62.86131643724276
0,IPS 1,7,61.207954837372085
0,IPS 1,8,91.05972284839675
0,IPS 1,9,81.96537261456322
0,IPS 2,0,672.7822474546867
0,IPS 2,1,1205.036395457297
0,IPS 2,2,1381.1508714869053
0,IPS 2,3,1342.1670210189354
0,IPS 2,4,1123.527069446717
0,IPS 2,5,1438.4261749609823
0,IPS 2,6,1562.1514611955326
0,IPS 2,7,1450.3730731005633
0,IPS 2,8,1369.6977055764626
0,IPS 2,9,1452.986915278006
0,IPS 3,0,2017.4539854230184
0,IPS 3,1,671.294045700496
0,IPS 3,2,675.4129858999386
0,IPS 3,3,602.1192584619648
0,IPS 3,4,566.3076730762921
0,IPS 3,5,645.6140064458282
0,IPS 3,6,683.8271608366802
0,IPS 3,7,722.1731151587508
0,IPS 3,8,639.8595697388029
0,IPS 3,9,603.5677402363365
1,IPS 1,0,750.8831615954225
1,IPS 1,1,897.574356386855
1,IPS 1,2,975.1927410864245
1,IPS 1,3,893.4376567722704
1,IPS 1,4,915.1034745620236
1,IPS 1,5,401.0375471766461
1,IPS 1,6,320.6880429081725
1,IPS 1,7,311.9565951966982
1,IPS 1,8,308.70071050032357
1,IPS 1,9,315.91256144858596
1,IPS 2,0,1494.5826389147192
1,IPS 2,1,1322.549325513813
1,IPS 2,2,932.9050106314637
1,IPS 2,3,838.0017588685539
1,IPS 2,4,859.2790481019397
1,IPS 2,5,992.4399615966829
1,IPS 2,6,1134.5383237927044
1,IPS 2,7,1001.9802278125394
1,IPS 2,8,1043.068606233147
1,IPS 2,9,1022.8643010345132
1,IPS 3,0,1292.935859256656
1,IPS 3,1,536.0305825390041
1,IPS 3,2,507.9653526429525
1,IPS 3,3,595.6440243414763
1,IPS 3,4,567.096230449931
1,IPS 3,5,777.4461134864694
1,IPS 3,6,807.7068797821446
1,IPS 3,7,806.3668675075212
1,IPS 3,8,798.4564324368491
1,IPS 3,9,798.5624212516095
2,IPS 1,0,544.131755366893
2,IPS 1,1,1060.7618452368267
2,IPS 1,2,1303.3105354186785
2,IPS 1,3,1288.9724192786562
2,IPS 1,4,1193.7657860983572
2,IPS 1,5,1263.4623036143187
2,IPS 1,6,1289.789398994451
2,IPS 1,7,1278.344719222769
2,IPS 1,8,1354.3190485264136
2,IPS 1,9,1292.324849018767
2,IPS 2,0,1588.534198965488
2,IPS 2,1,484.81140974904804
2,IPS 2,2,325.9581501576724
2,IPS 2,3,339.3324963470902
2,IPS 2,4,305.93699451431627
2,IPS 2,5,264.0866202482607
2,IPS 2,6,270.7310366899955
2,IPS 2,7,280.437232017406
2,IPS 2,8,266.64553675973787
2,IPS 2,9,258.99852295061214
2,IPS 3,0,1762.9037496499436
2,IPS 3,1,906.2599504853731
2,IPS 3,2,490.7301656161132
2,IPS 3,3,454.76316949116176
2,IPS 3,4,511.0041593075341
2,IPS 3,5,506.6249191956452
2,IPS 3,6,519.9347369197436
2,IPS 3,7,495.20578762946036
2,IPS 3,8,449.2442882285336
2,IPS 3,9,462.2551228106805
3,IPS 1,0,862.6504799819264
3,IPS 1,1,654.4688322132628
3,IPS 1,2,813.7767978834718
3,IPS 1,3,1066.3037332459885
3,IPS 1,4,1089.2150565384648
3,IPS 1,5,982.4924028147033
3,IPS 1,6,1033.0934217586519
3,IPS 1,7,984.6667326489601
3,IPS 1,8,1027.2503530701676
3,IPS 1,9,1061.7169143569063
3,IPS 2,0,1179.9800962857362
3,IPS 2,1,924.8500827379221
3,IPS 2,2,1124.1560741687576
3,IPS 2,3,1093.6275422586305
3,IPS 2,4,1102.850285796343
3,IPS 2,5,1173.3889061853927
3,IPS 2,6,1126.988921306023
3,IPS 2,7,1097.2638838186522
3,IPS 2,8,1034.2052579828796
3,IPS 2,9,1056.724856970991
3,IPS 3,0,1052.2532740593647
3,IPS 3,1,727.2417155654368
3,IPS 3,2,454.4686553619308
3,IPS 3,3,307.43778968086974
3,IPS 3,4,320.5153271463298
3,IPS 3,5,307.43406071032246
3,IPS 3,6,319.283950598407
3,IPS 3,7,313.915475564197
3,IPS 3,8,346.9103294722175
3,IPS 3,9,341.32910455483534
4,IPS 1,0,647.1078302530623
4,IPS 1,1,367.0221207458502
4,IPS 1,2,263.964446799842
4,IPS 1,3,267.5632591364151
4,IPS 1,4,245.626464995294
4,IPS 1,5,279.3350161083687
4,IPS 1,6,353.56373821095394
4,IPS 1,7,335.0979372831459
4,IPS 1,8,396.10755067552725
4,IPS 1,9,312.7749437695113
4,IPS 2,0,1501.8548041492945
4,IPS 2,1,600.3654079320393
4,IPS 2,2,429.83098267448946
4,IPS 2,3,405.02523903239296
4,IPS 2,4,438.52119113978375
4,IPS 2,5,432.5726388579044
4,IPS 2,6,390.39922567529345
4,IPS 2,7,404.3156508947784
4,IPS 2,8,432.0345816501406
4,IPS 2,9,391.4970318050484
4,IPS 3,0,1716.1097223809095
4,IPS 3,1,1437.4489018190752
4,IPS 3,2,1582.9036683077359
4,IPS 3,3,1594.2074792384863
4,IPS 3,4,1638.8060188189204
4,IPS 3,5,1479.06844166065
4,IPS 3,6,1421.265499202283
4,IPS 3,7,1279.3628047233842
4,IPS 3,8,1183.2104933381943
4,IPS 3,9,1374.039509428871
