Run,Iteration,Measure,Measure Name
0,0,11180.899605259443,Auction Revenue
0,1,5428.060494441586,Auction Revenue
0,2,3933.3028755590053,Auction Revenue
0,3,4022.865340656155,Auction Revenue
0,4,4122.563280497203,Auction Revenue
0,5,3937.98274873049,Auction Revenue
0,6,3962.6517127504985,Auction Revenue
0,7,3930.990920804849,Auction Revenue
0,8,3841.6940458191343,Auction Revenue
0,9,3832.0568309697182,Auction Revenue
1,0,12627.266315785677,Auction Revenue
1,1,5968.317538373054,Auction Revenue
1,2,5002.868277945244,Auction Revenue
1,3,4898.741273707286,Auction Revenue
1,4,5133.54607831269,Auction Revenue
1,5,4496.954291129943,Auction Revenue
1,6,4520.291547944175,Auction Revenue
1,7,4384.5201869088505,Auction Revenue
1,8,4407.192754801521,Auction Revenue
1,9,4380.7406464067435,Auction Revenue
2,0,11426.920657557432,Auction Revenue
2,1,4519.265811132005,Auction Revenue
2,2,3922.025059172066,Auction Revenue
2,3,4080.3648393853796,Auction Revenue
2,4,4124.428230206165,Auction Revenue
2,5,4107.904461507896,Auction Revenue
2,6,4208.741808380882,Auction Revenue
2,7,4191.212068015583,Auction Revenue
2,8,4136.969047278453,Auction Revenue
2,9,4105.847091162551,Auction Revenue
3,0,9824.940777893378,Auction Revenue
3,1,4326.474921109721,Auction Revenue
3,2,4650.900610326149,Auction Revenue
3,3,4758.047896926997,Auction Revenue
3,4,4900.343546235514,Auction Revenue
3,5,4795.944377109696,Auction Revenue
3,6,4809.850907219713,Auction Revenue
3,7,4819.1948746305725,Auction Revenue
3,8,4797.151574509079,Auction Revenue
3,9,4841.843867863026,Auction Revenue
4,0,11793.63698265007,Auction Revenue
4,1,4924.720533513446,Auction Revenue
4,2,4384.480711539309,Auction Revenue
4,3,4328.300391400435,Auction Revenue
4,4,4311.363967096657,Auction Revenue
4,5,4135.359460987949,Auction Revenue
4,6,4144.132063376687,Auction Revenue
4,7,4018.307071200629,Auction Revenue
4,8,3992.431702270539,Auction Revenue
4,9,4041.72545308682,Auction Revenue
0,0,-9571.522781838607,Social Surplus
0,1,-2233.773357067678,Social Surplus
0,2,790.8420747372043,Social Surplus
0,3,1032.3448927920588,Social Surplus
0,4,642.7829547687777,Social Surplus
0,5,1265.217352360817,Social Surplus
0,6,1178.8054160165107,Social Surplus
0,7,1186.1238016852649,Social Surplus
0,8,1367.5163877942896,Social Surplus
0,9,1293.7465456119828,Social Surplus
1,0,-10948.139572536305,Social Surplus
1,1,-3142.037576816382,Social Surplus
1,2,8.334213368957649,Social Surplus
1,3,591.0728281630113,Social Surplus
1,4,175.60537957804982,Social Surplus
1,5,908.9286104503468,Social Surplus
1,6,799.5227345984289,Social Surplus
1,7,1078.7859034382973,Social Surplus
1,8,903.0762071010078,Social Surplus
1,9,957.375135261117,Social Surplus
2,0,-9837.690737682304,Social Surplus
2,1,-500.31658228167544,Social Surplus
2,2,1242.3744280689991,Social Surplus
2,3,1305.5764947183366,Social Surplus
2,4,1081.1051323486333,Social Surplus
2,5,1265.4452006126849,Social Surplus
2,6,1206.8060189496878,Social Surplus
2,7,1180.6142467644827,Social Surplus
2,8,1177.6028308658847,Social Surplus
2,9,1332.931890638108,Social Surplus
3,0,-8259.133843482783,Social Surplus
3,1,100.03995442478146,Social Surplus
3,2,413.6278763645824,Social Surplus
3,3,554.4473495088893,Social Surplus
3,4,357.7604231697137,Social Surplus
3,5,507.13967030184864,Social Surplus
3,6,449.35046791778035,Social Surplus
3,7,463.3591660865056,Social Surplus
3,8,539.2802255471271,Social Surplus
3,9,532.9705558024159,Social Surplus
4,0,-10142.659648330367,Social Surplus
4,1,-1393.7858676709525,Social Surplus
4,2,799.3230620918829,Social Surplus
4,3,904.1922957003877,Social Surplus
4,4,1052.4240935475316,Social Surplus
4,5,1291.7236366603956,Social Surplus
4,6,1242.396320876949,Social Surplus
4,7,1412.9284540642373,Social Surplus
4,8,1492.891973153528,Social Surplus
4,9,1391.094465407119,Social Surplus
0,0,1609.3768234208235,Social Welfare
0,1,3194.2871373738762,Social Welfare
0,2,4724.144950296185,Social Welfare
0,3,5055.210233448219,Social Welfare
0,4,4765.34623526596,Social Welfare
0,5,5203.200101091301,Social Welfare
0,6,5141.457128767023,Social Welfare
0,7,5117.11472249008,Social Welfare
0,8,5209.2104336134025,Social Welfare
0,9,5125.803376581706,Social Welfare
1,0,1679.1267432493798,Social Welfare
1,1,2826.2799615566655,Social Welfare
1,2,5011.202491314203,Social Welfare
1,3,5489.814101870279,Social Welfare
1,4,5309.151457890726,Social Welfare
1,5,5405.882901580265,Social Welfare
1,6,5319.814282542573,Social Welfare
1,7,5463.306090347102,Social Welfare
1,8,5310.268961902491,Social Welfare
1,9,5338.115781667835,Social Welfare
2,0,1589.2299198751139,Social Welfare
2,1,4018.9492288503116,Social Welfare
2,2,5164.399487241077,Social Welfare
2,3,5385.941334103718,Social Welfare
2,4,5205.533362554815,Social Welfare
2,5,5373.3496621205795,Social Welfare
2,6,5415.547827330562,Social Welfare
2,7,5371.826314780073,Social Welfare
2,8,5314.571878144329,Social Welfare
2,9,5438.778981800659,Social Welfare
3,0,1565.8069344105916,Social Welfare
3,1,4426.514875534469,Social Welfare
3,2,5064.528486690711,Social Welfare
3,3,5312.4952464358685,Social Welfare
3,4,5258.103969405225,Social Welfare
3,5,5303.084047411522,Social Welfare
3,6,5259.201375137463,Social Welfare
3,7,5282.554040717048,Social Welfare
3,8,5336.43180005618,Social Welfare
3,9,5374.81442366541,Social Welfare
4,0,1650.9773343197105,Social Welfare
4,1,3530.9346658424615,Social Welfare
4,2,5183.803773631184,Social Welfare
4,3,5232.492687100823,Social Welfare
4,4,5363.788060644201,Social Welfare
4,5,5427.083097648342,Social Welfare
4,6,5386.52838425363,Social Welfare
4,7,5431.235525264858,Social Welfare
4,8,5485.323675424072,Social Welfare
4,9,5432.819918493936,Social Welfare
