Run,Agent,Iteration,Underbid Regret
0,IPS 1,0,9.253225818486651
0,IPS 1,1,67.98147525559023
0,IPS 1,2,343.4344562960529
0,IPS 1,3,283.4243112735343
0,IPS 1,4,234.58651589380008
0,IPS 1,5,395.53045874603333
0,IPS 1,6,420.5141243347412
0,IPS 1,7,439.11239360862396
0,IPS 1,8,405.4458912961253
0,IPS 1,9,385.15244817553247
0,IPS 2,0,17.254813500188007
0,IPS 2,1,53.212614096100936
0,IPS 2,2,17.713517785168797
0,IPS 2,3,20.62277443643301
0,IPS 2,4,32.36121143572288
0,IPS 2,5,18.612941175431523
0,IPS 2,6,15.167131265223333
0,IPS 2,7,22.98590583669906
0,IPS 2,8,17.157609085366197
0,IPS 2,9,17.266669767620435
0,IPS 3,0,7.185852386541358
0,IPS 3,1,97.37283793668432
0,IPS 3,2,148.90182441379244
0,IPS 3,3,154.44950166093432
0,IPS 3,4,139.36476120339395
0,IPS 3,5,144.33420744900218
0,IPS 3,6,155.64273449497716
0,IPS 3,7,157.2136491388366
0,IPS 3,8,155.32747043399974
0,IPS 3,9,159.63313151286883
1,IPS 1,0,6.956431783798864
1,IPS 1,1,21.99118541344677
1,IPS 1,2,29.925865702792716
1,IPS 1,3,40.32746150146743
1,IPS 1,4,34.36801831237949
1,IPS 1,5,153.42083265020204
1,IPS 1,6,188.65983055224297
1,IPS 1,7,170.88408278738
1,IPS 1,8,191.4947895560972
1,IPS 1,9,193.83981541866126
1,IPS 2,0,10.517054685208073
1,IPS 2,1,24.827635127163592
1,IPS 2,2,75.66310199018288
1,IPS 2,3,79.65898242610112
1,IPS 2,4,71.75344160821868
1,IPS 2,5,62.07220330404378
1,IPS 2,6,50.34703417824161
1,IPS 2,7,55.763593662780934
1,IPS 2,8,50.754855979399224
1,IPS 2,9,56.480418821219516
1,IPS 3,0,17.68326830715174
1,IPS 3,1,95.44660935877091
1,IPS 3,2,112.9960788396603
1,IPS 3,3,133.47314708260143
1,IPS 3,4,151.01114131715238
1,IPS 3,5,99.18003823717646
1,IPS 3,6,109.55542046542715
1,IPS 3,7,99.6502468113821
1,IPS 3,8,106.30079821995844
1,IPS 3,9,105.34456870935458
2,IPS 1,0,7.951661646875791
2,IPS 1,1,44.08012132711227
2,IPS 1,2,36.89680599111708
2,IPS 1,3,23.858972824452152
2,IPS 1,4,30.56704502990383
2,IPS 1,5,28.782712958454646
2,IPS 1,6,29.173434536422782
2,IPS 1,7,24.55544233922583
2,IPS 1,8,25.35580668219636
2,IPS 1,9,27.199617411545272
2,IPS 2,0,23.533718098747794
2,IPS 2,1,106.45079264064921
2,IPS 2,2,174.48474607257612
2,IPS 2,3,186.74920734528826
2,IPS 2,4,194.55916548419333
2,IPS 2,5,235.66532594932548
2,IPS 2,6,238.2177096844255
2,IPS 2,7,238.27091518328942
2,IPS 2,8,253.6489134355732
2,IPS 2,9,238.37416264324605
2,IPS 3,0,35.118180433932004
2,IPS 3,1,68.17993737854303
2,IPS 3,2,174.00038151495824
2,IPS 3,3,183.07838938840933
2,IPS 3,4,158.93291511721267
2,IPS 3,5,158.45069461545012
2,IPS 3,6,159.11036599173445
2,IPS 3,7,150.65228109339836
2,IPS 3,8,174.2392071111047
2,IPS 3,9,152.22367577764072
3,IPS 1,0,12.048382192017469
3,IPS 1,1,57.640603138099145
3,IPS 1,2,44.44488337002666
3,IPS 1,3,34.97751348527523
3,IPS 1,4,30.72302452330597
3,IPS 1,5,33.537891627452154
3,IPS 1,6,38.10210999937634
3,IPS 1,7,35.62419245203499
3,IPS 1,8,37.82660124403414
3,IPS 1,9,35.68584850427897
3,IPS 2,0,36.399391816446084
3,IPS 2,1,62.11275749014642
3,IPS 2,2,61.65780056466625
3,IPS 2,3,57.4667484779791
3,IPS 2,4,63.9015148964068
3,IPS 2,5,56.26147556989466
3,IPS 2,6,58.72583567836475
3,IPS 2,7,63.248223450199625
3,IPS 2,8,69.03118255702134
3,IPS 2,9,71.18320231040167
3,IPS 3,0,43.33078972431963
3,IPS 3,1,100.30889427408076
3,IPS 3,2,187.88325495194664
3,IPS 3,3,301.4584849317076
3,IPS 3,4,322.6849061197595
3,IPS 3,5,306.3744028446707
3,IPS 3,6,301.37936812482434
3,IPS 3,7,317.89032794301187
3,IPS 3,8,299.65116531657816
3,IPS 3,9,305.71672911693906
4,IPS 1,0,6.958834778724923
4,IPS 1,1,124.38492703797829
4,IPS 1,2,169.68600100963704
4,IPS 1,3,176.07847840283407
4,IPS 1,4,180.46501338283161
4,IPS 1,5,160.96590023555228
4,IPS 1,6,143.43293126908713
4,IPS 1,7,138.72005153837875
4,IPS 1,8,153.54640327761902
4,IPS 1,9,169.46085851246713
4,IPS 2,0,16.794292949011734
4,IPS 2,1,60.61027646419369
4,IPS 2,2,169.69246160446806
4,IPS 2,3,192.4197793511389
4,IPS 2,4,186.3301132555981
4,IPS 2,5,184.7383388764559
4,IPS 2,6,191.53035829685047
4,IPS 2,7,166.84944505371192
4,IPS 2,8,161.52075227605837
4,IPS 2,9,192.55291166837253
4,IPS 3,0,29.090954899645055
4,IPS 3,1,27.614569765615993
4,IPS 3,2,19.095729827041175
4,IPS 3,3,20.529490168781596
4,IPS 3,4,23.19770011152955
4,IPS 3,5,43.41128985786564
4,IPS 3,6,49.79456699912524
4,IPS 3,7,61.40193533286454
4,IPS 3,8,72.9389719030566
4,IPS 3,9,50.03820213698616
