Run,Agent,Iteration,Net Utility
0,"Oracle, DM (search) 1",0,31.032370936044227
0,"Oracle, DM (search) 1",1,299.0751206996178
0,"Oracle, DM (search) 1",2,363.74650652069613
0,"Oracle, DM (search) 1",3,333.03114407137963
0,"Oracle, DM (search) 1",4,353.828610844473
0,"Oracle, DM (search) 1",5,342.6585947955128
0,"Oracle, DM (search) 1",6,297.2581104236345
0,"Oracle, DM (search) 1",7,334.4218605748685
0,"Oracle, DM (search) 1",8,361.8478450164631
0,"Oracle, DM (search) 1",9,346.5788285917655
0,"Oracle, DM (search) 1",10,327.81154452237587
0,"Oracle, DM (search) 1",11,290.4671868206589
0,"Oracle, DM (search) 1",12,332.8374141842825
0,"Oracle, DM (search) 1",13,304.8960009420529
0,"Oracle, DM (search) 1",14,352.89707376500843
0,"Oracle, DM (search) 1",15,300.3936004169786
0,"Oracle, DM (search) 1",16,304.71498727615716
0,"Oracle, DM (search) 1",17,355.0003039237633
0,"Oracle, DM (search) 1",18,287.18045712473923
0,"Oracle, DM (search) 1",19,317.0689222402695
1,"Oracle, DM (search) 1",0,-11.539455362851394
1,"Oracle, DM (search) 1",1,297.5707643104075
1,"Oracle, DM (search) 1",2,314.29941871836064
1,"Oracle, DM (search) 1",3,376.7712329135638
1,"Oracle, DM (search) 1",4,349.08403261371666
1,"Oracle, DM (search) 1",5,367.6057659002726
1,"Oracle, DM (search) 1",6,350.7351404798043
1,"Oracle, DM (search) 1",7,335.5629517743208
1,"Oracle, DM (search) 1",8,302.519246974779
1,"Oracle, DM (search) 1",9,308.3546518150595
1,"Oracle, DM (search) 1",10,325.3303551586588
1,"Oracle, DM (search) 1",11,309.66456626783895
1,"Oracle, DM (search) 1",12,306.99589786459643
1,"Oracle, DM (search) 1",13,320.8616093852775
1,"Oracle, DM (search) 1",14,343.1334639153623
1,"Oracle, DM (search) 1",15,323.08258810119185
1,"Oracle, DM (search) 1",16,299.4715967621976
1,"Oracle, DM (search) 1",17,331.5161903870545
1,"Oracle, DM (search) 1",18,322.30173104850365
1,"Oracle, DM (search) 1",19,285.09287430508874
2,"Oracle, DM (search) 1",0,4.563923974988652
2,"Oracle, DM (search) 1",1,283.9887576977764
2,"Oracle, DM (search) 1",2,354.62887541321
2,"Oracle, DM (search) 1",3,389.15418525515304
2,"Oracle, DM (search) 1",4,371.57388424022093
2,"Oracle, DM (search) 1",5,318.6353935526591
2,"Oracle, DM (search) 1",6,328.7928016044072
2,"Oracle, DM (search) 1",7,314.9401515857745
2,"Oracle, DM (search) 1",8,341.05959694294717
2,"Oracle, DM (search) 1",9,321.9006071963514
2,"Oracle, DM (search) 1",10,351.23930679748923
2,"Oracle, DM (search) 1",11,322.5004954706626
2,"Oracle, DM (search) 1",12,338.05013389924795
2,"Oracle, DM (search) 1",13,373.4850877181711
2,"Oracle, DM (search) 1",14,345.39875409911843
2,"Oracle, DM (search) 1",15,350.1323014212984
2,"Oracle, DM (search) 1",16,276.70550836425514
2,"Oracle, DM (search) 1",17,327.02755993321244
2,"Oracle, DM (search) 1",18,296.3252293862913
2,"Oracle, DM (search) 1",19,306.58206102714814
0,"Oracle, DM (search) 2",0,-15.181026367474637
0,"Oracle, DM (search) 2",1,337.1742042726357
0,"Oracle, DM (search) 2",2,401.27989775104413
0,"Oracle, DM (search) 2",3,403.833468561779
0,"Oracle, DM (search) 2",4,398.12790471339525
0,"Oracle, DM (search) 2",5,403.64554205495335
0,"Oracle, DM (search) 2",6,373.6023757047023
0,"Oracle, DM (search) 2",7,406.54526123669024
0,"Oracle, DM (search) 2",8,348.6403820451409
0,"Oracle, DM (search) 2",9,381.8835141179279
0,"Oracle, DM (search) 2",10,353.01085560621766
0,"Oracle, DM (search) 2",11,358.6546357111426
0,"Oracle, DM (search) 2",12,374.3948231839109
0,"Oracle, DM (search) 2",13,375.91724084611775
0,"Oracle, DM (search) 2",14,338.3360725204457
0,"Oracle, DM (search) 2",15,360.5310458424381
0,"Oracle, DM (search) 2",16,366.7507957361293
0,"Oracle, DM (search) 2",17,402.4506885992364
0,"Oracle, DM (search) 2",18,290.41064625489366
0,"Oracle, DM (search) 2",19,355.2330953743239
1,"Oracle, DM (search) 2",0,-5.411861277872483
1,"Oracle, DM (search) 2",1,322.22901110996474
1,"Oracle, DM (search) 2",2,397.15290609828264
1,"Oracle, DM (search) 2",3,373.22880010994896
1,"Oracle, DM (search) 2",4,399.6772293722597
1,"Oracle, DM (search) 2",5,392.9605207238678
1,"Oracle, DM (search) 2",6,317.4435767573704
1,"Oracle, DM (search) 2",7,388.9832676311155
1,"Oracle, DM (search) 2",8,389.4030982499489
1,"Oracle, DM (search) 2",9,370.4622584205034
1,"Oracle, DM (search) 2",10,342.9282801923101
1,"Oracle, DM (search) 2",11,395.1579419881185
1,"Oracle, DM (search) 2",12,400.89570920830096
1,"Oracle, DM (search) 2",13,377.51969992146064
1,"Oracle, DM (search) 2",14,378.9199137096676
1,"Oracle, DM (search) 2",15,348.39947845790374
1,"Oracle, DM (search) 2",16,338.22852457228197
1,"Oracle, DM (search) 2",17,353.9964417573194
1,"Oracle, DM (search) 2",18,372.89868886942304
1,"Oracle, DM (search) 2",19,390.15520164478
2,"Oracle, DM (search) 2",0,39.12334324373985
2,"Oracle, DM (search) 2",1,280.6850540012666
2,"Oracle, DM (search) 2",2,405.7654881290969
2,"Oracle, DM (search) 2",3,397.5228597484702
2,"Oracle, DM (search) 2",4,388.9978414222081
2,"Oracle, DM (search) 2",5,355.74389461694307
2,"Oracle, DM (search) 2",6,366.5977673421905
2,"Oracle, DM (search) 2",7,416.8997625102281
2,"Oracle, DM (search) 2",8,320.22799666233124
2,"Oracle, DM (search) 2",9,373.2712583969328
2,"Oracle, DM (search) 2",10,397.1961009968775
2,"Oracle, DM (search) 2",11,389.14858394570143
2,"Oracle, DM (search) 2",12,401.9175591530149
2,"Oracle, DM (search) 2",13,325.2502311166077
2,"Oracle, DM (search) 2",14,363.3885714011113
2,"Oracle, DM (search) 2",15,389.04125724340753
2,"Oracle, DM (search) 2",16,366.28357659450006
2,"Oracle, DM (search) 2",17,386.2068444723756
2,"Oracle, DM (search) 2",18,365.52886202241035
2,"Oracle, DM (search) 2",19,357.05240995778473
0,"Oracle, DM (search) 3",0,-15.763268093862642
0,"Oracle, DM (search) 3",1,209.03595272057117
0,"Oracle, DM (search) 3",2,257.7650892444891
0,"Oracle, DM (search) 3",3,245.45329504826663
0,"Oracle, DM (search) 3",4,241.33743402969262
0,"Oracle, DM (search) 3",5,249.5853719320559
0,"Oracle, DM (search) 3",6,259.1544893225052
0,"Oracle, DM (search) 3",7,262.81151768813953
0,"Oracle, DM (search) 3",8,227.99421180467823
0,"Oracle, DM (search) 3",9,227.01712148412645
0,"Oracle, DM (search) 3",10,251.49327572915288
0,"Oracle, DM (search) 3",11,213.96311941990896
0,"Oracle, DM (search) 3",12,274.3266136240961
0,"Oracle, DM (search) 3",13,238.45598116636396
0,"Oracle, DM (search) 3",14,233.88151677773425
0,"Oracle, DM (search) 3",15,269.2006263391159
0,"Oracle, DM (search) 3",16,214.12692947925214
0,"Oracle, DM (search) 3",17,234.829394654336
0,"Oracle, DM (search) 3",18,236.2583008363927
0,"Oracle, DM (search) 3",19,199.43802760739197
1,"Oracle, DM (search) 3",0,-3.39763073807101
1,"Oracle, DM (search) 3",1,200.09311798660752
1,"Oracle, DM (search) 3",2,269.72908049055604
1,"Oracle, DM (search) 3",3,252.79401581732435
1,"Oracle, DM (search) 3",4,259.27161514399444
1,"Oracle, DM (search) 3",5,267.3585020747984
1,"Oracle, DM (search) 3",6,249.01330158655472
1,"Oracle, DM (search) 3",7,227.27396258387202
1,"Oracle, DM (search) 3",8,226.62206917906514
1,"Oracle, DM (search) 3",9,240.3708580927929
1,"Oracle, DM (search) 3",10,224.67235632334845
1,"Oracle, DM (search) 3",11,221.82065008475416
1,"Oracle, DM (search) 3",12,231.47761838755113
1,"Oracle, DM (search) 3",13,211.51946703096502
1,"Oracle, DM (search) 3",14,219.34336514205071
1,"Oracle, DM (search) 3",15,212.3909372011555
1,"Oracle, DM (search) 3",16,240.78034490519525
1,"Oracle, DM (search) 3",17,233.20744303297855
1,"Oracle, DM (search) 3",18,264.03015556077065
1,"Oracle, DM (search) 3",19,233.9074539480007
2,"Oracle, DM (search) 3",0,10.187543731359268
2,"Oracle, DM (search) 3",1,229.60720879730235
2,"Oracle, DM (search) 3",2,261.2461876572322
2,"Oracle, DM (search) 3",3,197.32085872966422
2,"Oracle, DM (search) 3",4,235.10738539686642
2,"Oracle, DM (search) 3",5,253.38191407420092
2,"Oracle, DM (search) 3",6,251.50019366036233
2,"Oracle, DM (search) 3",7,245.6936977851296
2,"Oracle, DM (search) 3",8,194.52322476588236
2,"Oracle, DM (search) 3",9,227.9940385017774
2,"Oracle, DM (search) 3",10,223.2171148201447
2,"Oracle, DM (search) 3",11,208.94340316772906
2,"Oracle, DM (search) 3",12,227.90558261105755
2,"Oracle, DM (search) 3",13,192.12368348834704
2,"Oracle, DM (search) 3",14,234.74185635843108
2,"Oracle, DM (search) 3",15,241.2979773771678
2,"Oracle, DM (search) 3",16,206.88458183561457
2,"Oracle, DM (search) 3",17,219.71539319361852
2,"Oracle, DM (search) 3",18,244.09421993962667
2,"Oracle, DM (search) 3",19,180.63171603394798
0,"Oracle, DM (search) 4",0,-51.599179039466534
0,"Oracle, DM (search) 4",1,535.4594590462588
0,"Oracle, DM (search) 4",2,643.7281735128881
0,"Oracle, DM (search) 4",3,680.9263811391969
0,"Oracle, DM (search) 4",4,684.4282148474877
0,"Oracle, DM (search) 4",5,667.7788620607364
0,"Oracle, DM (search) 4",6,668.6054129603936
0,"Oracle, DM (search) 4",7,638.1276418635305
0,"Oracle, DM (search) 4",8,659.6268960028295
0,"Oracle, DM (search) 4",9,649.7602392910735
0,"Oracle, DM (search) 4",10,659.6637088775042
0,"Oracle, DM (search) 4",11,706.4786240585298
0,"Oracle, DM (search) 4",12,644.4478069839463
0,"Oracle, DM (search) 4",13,644.0265755367061
0,"Oracle, DM (search) 4",14,664.6143851240219
0,"Oracle, DM (search) 4",15,684.7445269338493
0,"Oracle, DM (search) 4",16,644.0674575005633
0,"Oracle, DM (search) 4",17,629.1649517331931
0,"Oracle, DM (search) 4",18,653.350727422282
0,"Oracle, DM (search) 4",19,640.5589283668687
1,"Oracle, DM (search) 4",0,-30.199742604218173
1,"Oracle, DM (search) 4",1,504.66735196353176
1,"Oracle, DM (search) 4",2,681.2090521089477
1,"Oracle, DM (search) 4",3,681.5511858644585
1,"Oracle, DM (search) 4",4,709.8240698798558
1,"Oracle, DM (search) 4",5,635.7011135545973
1,"Oracle, DM (search) 4",6,756.2031731288797
1,"Oracle, DM (search) 4",7,624.99313968979
1,"Oracle, DM (search) 4",8,680.2905722551557
1,"Oracle, DM (search) 4",9,576.9018697736859
1,"Oracle, DM (search) 4",10,721.1301572667336
1,"Oracle, DM (search) 4",11,605.917399940061
1,"Oracle, DM (search) 4",12,709.9411327571261
1,"Oracle, DM (search) 4",13,664.0852421950315
1,"Oracle, DM (search) 4",14,668.4923146767507
1,"Oracle, DM (search) 4",15,672.8492173729671
1,"Oracle, DM (search) 4",16,585.6149476762052
1,"Oracle, DM (search) 4",17,691.2271437809326
1,"Oracle, DM (search) 4",18,616.4202579911966
1,"Oracle, DM (search) 4",19,654.9445556690038
2,"Oracle, DM (search) 4",0,51.77296437280001
2,"Oracle, DM (search) 4",1,554.1103639923783
2,"Oracle, DM (search) 4",2,653.4981779611007
2,"Oracle, DM (search) 4",3,662.729375892639
2,"Oracle, DM (search) 4",4,704.6547991320027
2,"Oracle, DM (search) 4",5,671.4115859579902
2,"Oracle, DM (search) 4",6,657.2499931975867
2,"Oracle, DM (search) 4",7,649.3375559441739
2,"Oracle, DM (search) 4",8,725.1746454004056
2,"Oracle, DM (search) 4",9,627.9620065351608
2,"Oracle, DM (search) 4",10,665.6521034071823
2,"Oracle, DM (search) 4",11,640.1540274885767
2,"Oracle, DM (search) 4",12,673.9285807105017
2,"Oracle, DM (search) 4",13,649.2091295144944
2,"Oracle, DM (search) 4",14,664.2895922010193
2,"Oracle, DM (search) 4",15,651.6665291338144
2,"Oracle, DM (search) 4",16,638.9959843575679
2,"Oracle, DM (search) 4",17,620.0816556199919
2,"Oracle, DM (search) 4",18,703.6682987782185
2,"Oracle, DM (search) 4",19,671.2101850142587
0,"Oracle, DM (search) 5",0,-11.197564549940171
0,"Oracle, DM (search) 5",1,269.368930668713
0,"Oracle, DM (search) 5",2,381.77739309118346
0,"Oracle, DM (search) 5",3,375.7554291484817
0,"Oracle, DM (search) 5",4,342.54471337122385
0,"Oracle, DM (search) 5",5,342.20444324219443
0,"Oracle, DM (search) 5",6,395.7807909402858
0,"Oracle, DM (search) 5",7,375.6091149818781
0,"Oracle, DM (search) 5",8,318.09981692300545
0,"Oracle, DM (search) 5",9,370.61141167047964
0,"Oracle, DM (search) 5",10,322.32500096917653
0,"Oracle, DM (search) 5",11,344.7613655330948
0,"Oracle, DM (search) 5",12,332.2895591396636
0,"Oracle, DM (search) 5",13,326.66952933107905
0,"Oracle, DM (search) 5",14,331.31272779046463
0,"Oracle, DM (search) 5",15,340.3832945110864
0,"Oracle, DM (search) 5",16,360.9610851047376
0,"Oracle, DM (search) 5",17,360.69482104372025
0,"Oracle, DM (search) 5",18,381.4752700764737
0,"Oracle, DM (search) 5",19,316.99614906658206
1,"Oracle, DM (search) 5",0,-37.679506947638416
1,"Oracle, DM (search) 5",1,312.5081189796424
1,"Oracle, DM (search) 5",2,351.75261793768647
1,"Oracle, DM (search) 5",3,368.2272136969747
1,"Oracle, DM (search) 5",4,378.7720339800331
1,"Oracle, DM (search) 5",5,406.00472481248806
1,"Oracle, DM (search) 5",6,343.43347484563594
1,"Oracle, DM (search) 5",7,353.2795895376853
1,"Oracle, DM (search) 5",8,329.27344703172076
1,"Oracle, DM (search) 5",9,315.3591416070307
1,"Oracle, DM (search) 5",10,408.99142134554813
1,"Oracle, DM (search) 5",11,337.70296524749284
1,"Oracle, DM (search) 5",12,365.57996493397224
1,"Oracle, DM (search) 5",13,336.32784818819357
1,"Oracle, DM (search) 5",14,369.1275184457746
1,"Oracle, DM (search) 5",15,312.3502548550322
1,"Oracle, DM (search) 5",16,310.4015529739601
1,"Oracle, DM (search) 5",17,301.7448277511961
1,"Oracle, DM (search) 5",18,330.28547574406315
1,"Oracle, DM (search) 5",19,368.5958993218194
2,"Oracle, DM (search) 5",0,24.58296092498069
2,"Oracle, DM (search) 5",1,292.7185831038658
2,"Oracle, DM (search) 5",2,411.00370481685223
2,"Oracle, DM (search) 5",3,379.44665168954646
2,"Oracle, DM (search) 5",4,369.48642183456815
2,"Oracle, DM (search) 5",5,380.03651579375764
2,"Oracle, DM (search) 5",6,348.67295040874336
2,"Oracle, DM (search) 5",7,353.841925513061
2,"Oracle, DM (search) 5",8,355.4533300992482
2,"Oracle, DM (search) 5",9,352.06542262675447
2,"Oracle, DM (search) 5",10,312.39611348055524
2,"Oracle, DM (search) 5",11,363.45846758156915
2,"Oracle, DM (search) 5",12,368.7013542953038
2,"Oracle, DM (search) 5",13,374.5600814623885
2,"Oracle, DM (search) 5",14,348.3937531019899
2,"Oracle, DM (search) 5",15,373.3878447435727
2,"Oracle, DM (search) 5",16,376.73539082067924
2,"Oracle, DM (search) 5",17,327.8108952223881
2,"Oracle, DM (search) 5",18,324.66517777478055
2,"Oracle, DM (search) 5",19,333.1806049543726
0,"Oracle, DM (search) 6",0,-39.89739434301085
0,"Oracle, DM (search) 6",1,328.77534442377174
0,"Oracle, DM (search) 6",2,384.40701618348436
0,"Oracle, DM (search) 6",3,381.1627353475834
0,"Oracle, DM (search) 6",4,350.6888226296431
0,"Oracle, DM (search) 6",5,354.8633273522311
0,"Oracle, DM (search) 6",6,353.8866620426891
0,"Oracle, DM (search) 6",7,382.818836507621
0,"Oracle, DM (search) 6",8,361.3411558559037
0,"Oracle, DM (search) 6",9,386.27733745063864
0,"Oracle, DM (search) 6",10,372.64777502152094
0,"Oracle, DM (search) 6",11,337.02579284153774
0,"Oracle, DM (search) 6",12,323.22863003339916
0,"Oracle, DM (search) 6",13,366.24844732067197
0,"Oracle, DM (search) 6",14,367.57459868324145
0,"Oracle, DM (search) 6",15,345.39577183773326
0,"Oracle, DM (search) 6",16,363.862632706691
0,"Oracle, DM (search) 6",17,310.72557201943465
0,"Oracle, DM (search) 6",18,320.81247060964574
0,"Oracle, DM (search) 6",19,354.3579379310254
1,"Oracle, DM (search) 6",0,14.878548299279725
1,"Oracle, DM (search) 6",1,358.5531585447693
1,"Oracle, DM (search) 6",2,325.4895762257199
1,"Oracle, DM (search) 6",3,366.78168534283395
1,"Oracle, DM (search) 6",4,430.76973542747857
1,"Oracle, DM (search) 6",5,347.1877584717641
1,"Oracle, DM (search) 6",6,362.7978483327166
1,"Oracle, DM (search) 6",7,354.40161556171375
1,"Oracle, DM (search) 6",8,364.410707107371
1,"Oracle, DM (search) 6",9,418.57415285303375
1,"Oracle, DM (search) 6",10,404.838545752244
1,"Oracle, DM (search) 6",11,364.10918946012407
1,"Oracle, DM (search) 6",12,315.53211876528303
1,"Oracle, DM (search) 6",13,402.75205299691567
1,"Oracle, DM (search) 6",14,358.1102733661037
1,"Oracle, DM (search) 6",15,409.4093567086458
1,"Oracle, DM (search) 6",16,390.39617993934087
1,"Oracle, DM (search) 6",17,340.34905705880544
1,"Oracle, DM (search) 6",18,294.3607534131522
1,"Oracle, DM (search) 6",19,374.91610053260706
2,"Oracle, DM (search) 6",0,-6.801139434273944
2,"Oracle, DM (search) 6",1,306.50430026629783
2,"Oracle, DM (search) 6",2,354.0698990195864
2,"Oracle, DM (search) 6",3,370.7327417308897
2,"Oracle, DM (search) 6",4,356.5570575815946
2,"Oracle, DM (search) 6",5,344.5837682233506
2,"Oracle, DM (search) 6",6,353.8251045459569
2,"Oracle, DM (search) 6",7,382.8857163063225
2,"Oracle, DM (search) 6",8,347.4192645939185
2,"Oracle, DM (search) 6",9,369.39707663628525
2,"Oracle, DM (search) 6",10,370.36719574041666
2,"Oracle, DM (search) 6",11,362.4682406861825
2,"Oracle, DM (search) 6",12,334.29737260924526
2,"Oracle, DM (search) 6",13,307.51838788927483
2,"Oracle, DM (search) 6",14,348.5608519969884
2,"Oracle, DM (search) 6",15,382.7452508064741
2,"Oracle, DM (search) 6",16,327.5998088422616
2,"Oracle, DM (search) 6",17,404.9469682182094
2,"Oracle, DM (search) 6",18,338.07149089137897
2,"Oracle, DM (search) 6",19,309.8340215029652
