Run,Agent,Iteration,Underbid Regret
0,"Oracle, DM (search) 1",0,0.11283638843129633
0,"Oracle, DM (search) 1",1,26.299438121737246
0,"Oracle, DM (search) 1",2,31.947406908180433
0,"Oracle, DM (search) 1",3,31.160738633139452
0,"Oracle, DM (search) 1",4,25.754630085858047
0,"Oracle, DM (search) 1",5,30.006825884646098
0,"Oracle, DM (search) 1",6,22.149318329801012
0,"Oracle, DM (search) 1",7,27.481455357541808
0,"Oracle, DM (search) 1",8,25.470485494870147
0,"Oracle, DM (search) 1",9,22.594516104992316
0,"Oracle, DM (search) 1",10,24.126672746136954
0,"Oracle, DM (search) 1",11,26.017146461077825
0,"Oracle, DM (search) 1",12,25.538735520390826
0,"Oracle, DM (search) 1",13,29.655670884155562
0,"Oracle, DM (search) 1",14,20.961422174575652
0,"Oracle, DM (search) 1",15,26.100983246709227
0,"Oracle, DM (search) 1",16,24.965849187967727
0,"Oracle, DM (search) 1",17,25.931077386112303
0,"Oracle, DM (search) 1",18,25.315736592075652
0,"Oracle, DM (search) 1",19,24.385941532092833
0,"Oracle, DM (search) 2",0,0.1184214763610758
0,"Oracle, DM (search) 2",1,34.20088876875012
0,"Oracle, DM (search) 2",2,43.845347643000736
0,"Oracle, DM (search) 2",3,35.910808070740785
0,"Oracle, DM (search) 2",4,37.64562140245674
0,"Oracle, DM (search) 2",5,32.611016628629756
0,"Oracle, DM (search) 2",6,36.4571094553996
0,"Oracle, DM (search) 2",7,30.765048259213174
0,"Oracle, DM (search) 2",8,34.60176039382037
0,"Oracle, DM (search) 2",9,28.911741339672346
0,"Oracle, DM (search) 2",10,35.61702149371898
0,"Oracle, DM (search) 2",11,29.06012047255429
0,"Oracle, DM (search) 2",12,32.87550285560684
0,"Oracle, DM (search) 2",13,26.41754742236681
0,"Oracle, DM (search) 2",14,37.842366820064775
0,"Oracle, DM (search) 2",15,27.20209850347925
0,"Oracle, DM (search) 2",16,35.299198818862465
0,"Oracle, DM (search) 2",17,29.304197447343697
0,"Oracle, DM (search) 2",18,32.25653600690117
0,"Oracle, DM (search) 2",19,30.52364838040686
0,"Oracle, DM (search) 3",0,0.2102325025115363
0,"Oracle, DM (search) 3",1,55.00081883940732
0,"Oracle, DM (search) 3",2,50.48749632634853
0,"Oracle, DM (search) 3",3,36.05717500467601
0,"Oracle, DM (search) 3",4,34.51598266471192
0,"Oracle, DM (search) 3",5,31.575234551972482
0,"Oracle, DM (search) 3",6,35.631220740391186
0,"Oracle, DM (search) 3",7,29.89320006987542
0,"Oracle, DM (search) 3",8,33.20893449731493
0,"Oracle, DM (search) 3",9,32.13206503496859
0,"Oracle, DM (search) 3",10,31.493927827238622
0,"Oracle, DM (search) 3",11,34.96368578340224
0,"Oracle, DM (search) 3",12,25.543769289637908
0,"Oracle, DM (search) 3",13,33.862559931621824
0,"Oracle, DM (search) 3",14,34.41840595801329
0,"Oracle, DM (search) 3",15,29.550348605980986
0,"Oracle, DM (search) 3",16,30.83652901814657
0,"Oracle, DM (search) 3",17,30.291240540678736
0,"Oracle, DM (search) 3",18,30.758793077151868
0,"Oracle, DM (search) 3",19,26.759666985939543
0,"Oracle, DM (search) 4",0,0.06913889644483028
0,"Oracle, DM (search) 4",1,29.679569189397206
0,"Oracle, DM (search) 4",2,33.37938513903305
0,"Oracle, DM (search) 4",3,38.81387480235528
0,"Oracle, DM (search) 4",4,30.574783567680562
0,"Oracle, DM (search) 4",5,36.01748505271942
0,"Oracle, DM (search) 4",6,31.184289292979336
0,"Oracle, DM (search) 4",7,35.640613111405735
0,"Oracle, DM (search) 4",8,32.112101744086196
0,"Oracle, DM (search) 4",9,34.719161391749
0,"Oracle, DM (search) 4",10,29.208410163357442
0,"Oracle, DM (search) 4",11,35.75065553711588
0,"Oracle, DM (search) 4",12,34.68352531452605
0,"Oracle, DM (search) 4",13,33.874693360642425
0,"Oracle, DM (search) 4",14,31.281081125699316
0,"Oracle, DM (search) 4",15,33.089047680515264
0,"Oracle, DM (search) 4",16,32.00939955066662
0,"Oracle, DM (search) 4",17,33.94851530389503
0,"Oracle, DM (search) 4",18,31.206880929875318
0,"Oracle, DM (search) 4",19,33.79331865369859
0,"Oracle, DM (search) 5",0,0.085812696971614
0,"Oracle, DM (search) 5",1,41.69800468916603
0,"Oracle, DM (search) 5",2,38.92944965660553
0,"Oracle, DM (search) 5",3,39.4283289626458
0,"Oracle, DM (search) 5",4,35.19109940609552
0,"Oracle, DM (search) 5",5,27.146126337758094
0,"Oracle, DM (search) 5",6,30.408719160374233
0,"Oracle, DM (search) 5",7,28.72589413020529
0,"Oracle, DM (search) 5",8,31.54551173866613
0,"Oracle, DM (search) 5",9,24.10665729121512
0,"Oracle, DM (search) 5",10,31.73477534421699
0,"Oracle, DM (search) 5",11,23.841198660491223
0,"Oracle, DM (search) 5",12,27.922625116340846
0,"Oracle, DM (search) 5",13,26.082677561033226
0,"Oracle, DM (search) 5",14,24.992393889562628
0,"Oracle, DM (search) 5",15,27.65067230784229
0,"Oracle, DM (search) 5",16,26.7647592442513
0,"Oracle, DM (search) 5",17,28.83231598354938
0,"Oracle, DM (search) 5",18,25.770808465508864
0,"Oracle, DM (search) 5",19,27.391636835579128
0,"Oracle, DM (search) 6",0,0.07873276688543168
0,"Oracle, DM (search) 6",1,32.32724751629248
0,"Oracle, DM (search) 6",2,48.77656019798778
0,"Oracle, DM (search) 6",3,39.29233773904309
0,"Oracle, DM (search) 6",4,40.28089608029539
0,"Oracle, DM (search) 6",5,35.88743157485956
0,"Oracle, DM (search) 6",6,37.588947737845714
0,"Oracle, DM (search) 6",7,35.612777828456416
0,"Oracle, DM (search) 6",8,33.35504958501884
0,"Oracle, DM (search) 6",9,38.98429483954425
0,"Oracle, DM (search) 6",10,34.18187250250278
0,"Oracle, DM (search) 6",11,34.164765159752434
0,"Oracle, DM (search) 6",12,37.91557329669004
0,"Oracle, DM (search) 6",13,33.81094445541327
0,"Oracle, DM (search) 6",14,35.82892596585965
0,"Oracle, DM (search) 6",15,36.9239680882181
0,"Oracle, DM (search) 6",16,37.634059207648654
0,"Oracle, DM (search) 6",17,38.45117363146274
0,"Oracle, DM (search) 6",18,35.135217967410945
0,"Oracle, DM (search) 6",19,35.50929473450519
1,"Oracle, DM (search) 1",0,0.07719800727284094
1,"Oracle, DM (search) 1",1,27.102638547697882
1,"Oracle, DM (search) 1",2,34.565415612744005
1,"Oracle, DM (search) 1",3,32.02869370883781
1,"Oracle, DM (search) 1",4,26.8258213516893
1,"Oracle, DM (search) 1",5,27.739874415270783
1,"Oracle, DM (search) 1",6,26.54734289863996
1,"Oracle, DM (search) 1",7,25.788363591307792
1,"Oracle, DM (search) 1",8,25.783307816090215
1,"Oracle, DM (search) 1",9,28.42915620316284
1,"Oracle, DM (search) 1",10,21.246608144582535
1,"Oracle, DM (search) 1",11,26.556785143924813
1,"Oracle, DM (search) 1",12,22.28773086176099
1,"Oracle, DM (search) 1",13,24.855413969824518
1,"Oracle, DM (search) 1",14,21.63639363491869
1,"Oracle, DM (search) 1",15,28.571597614626576
1,"Oracle, DM (search) 1",16,20.72927089345701
1,"Oracle, DM (search) 1",17,26.802914020416342
1,"Oracle, DM (search) 1",18,22.747618194017498
1,"Oracle, DM (search) 1",19,26.05140887055949
1,"Oracle, DM (search) 2",0,0.07551330538830825
1,"Oracle, DM (search) 2",1,34.4001293705613
1,"Oracle, DM (search) 2",2,43.40561468891727
1,"Oracle, DM (search) 2",3,39.60720981029472
