Run,Agent,Iteration,Gross Utility
0,DM (policy) 1,0,188.91618448852276
0,DM (policy) 1,1,648.5181345790435
0,DM (policy) 1,2,1710.1161940207053
1,DM (policy) 1,0,336.4419909147291
1,DM (policy) 1,1,1391.2885491362683
1,DM (policy) 1,2,1353.1154518515843
0,DM (policy) 2,0,477.1049438976303
0,DM (policy) 2,1,828.1663952117607
0,DM (policy) 2,2,1304.202062765287
1,DM (policy) 2,0,376.13695128764914
1,DM (policy) 2,1,719.7371059399768
1,DM (policy) 2,2,1072.0579921651563
0,DM (policy) 3,0,839.6662858919414
0,DM (policy) 3,1,1521.0804764067161
0,DM (policy) 3,2,1969.7758556633753
1,DM (policy) 3,0,593.808006340154
1,DM (policy) 3,1,1455.2777892742295
1,DM (policy) 3,2,1701.181086207637
