Run,Agent,Iteration,Overbid Regret
0,DM (policy) 1,0,942.2046051732893
0,DM (policy) 1,1,513.3984769138054
0,DM (policy) 1,2,524.3411552313039
0,DM (policy) 2,0,1308.8943559393288
0,DM (policy) 2,1,473.0202289781456
0,DM (policy) 2,2,436.9336059903241
0,DM (policy) 3,0,2517.6804753745264
0,DM (policy) 3,1,2364.630047581217
0,DM (policy) 3,2,780.2042941275408
1,DM (policy) 1,0,711.3090407688962
1,DM (policy) 1,1,641.1558106338008
1,DM (policy) 1,2,366.31235119541236
1,DM (policy) 2,0,1266.7615040735466
1,DM (policy) 2,1,916.5566491753164
1,DM (policy) 2,2,1021.2175802616762
1,DM (policy) 3,0,2189.6595050996348
1,DM (policy) 3,1,955.3805779702308
1,DM (policy) 3,2,543.8724524641634
