Run,Iteration,Measure,Measure Name
0,0,12570.577534824733,Auction Revenue
0,1,5572.662479479283,Auction Revenue
0,2,3714.0589602529267,Auction Revenue
1,0,12258.976998342052,Auction Revenue
1,1,4751.807556960766,Auction Revenue
1,2,4239.734404433686,Auction Revenue
0,0,-11064.89012054672,Social Surplus
0,1,-2574.897473281755,Social Surplus
0,2,1270.0351521964608,Social Surplus
1,0,-10952.590049799506,Social Surplus
1,1,-1185.5041126102792,Social Surplus
1,2,-113.37987420933189,Social Surplus
0,0,1505.6874142780944,Social Welfare
0,1,2997.76500619752,Social Welfare
0,2,4984.0941124493675,Social Welfare
1,0,1306.386948542532,Social Welfare
1,1,3566.303444350475,Social Welfare
1,2,4126.354530224377,Social Welfare
