Run,Agent,Iteration,Gross Utility
0,DR 1,0,326.9173347576714
0,DR 1,1,711.149435448203
0,DR 1,2,1144.7179744317712
0,DR 1,3,1177.291785924732
0,DR 1,4,1108.2510986288776
0,DR 1,5,1052.6114350966363
0,DR 1,6,1037.965897879133
0,DR 1,7,1127.8438801889713
0,DR 1,8,1216.9285116016406
0,DR 1,9,1272.398067482374
0,DR 1,10,1310.8039828323758
0,DR 1,11,1322.346730748745
0,DR 1,12,1307.4625595443983
0,DR 1,13,1409.1884070219799
0,DR 1,14,1482.5274240581546
0,DR 1,15,1421.2200285649385
0,DR 1,16,1359.3595903024225
0,DR 1,17,1224.5719967244854
0,DR 1,18,1567.5702073509228
0,DR 1,19,1551.0669168261554
0,DR 1,20,1488.259735885739
0,DR 1,21,1483.5814389383452
0,DR 1,22,1491.909264147417
0,DR 1,23,1714.9756907375822
0,DR 1,24,1600.9188545850138
0,DR 1,25,1534.0970173500466
0,DR 1,26,1589.8181057239021
0,DR 1,27,1709.4088482548464
0,DR 1,28,1565.6868882834435
0,DR 1,29,1364.2674579800084
1,DR 1,0,178.0622860796285
1,DR 1,1,766.5874550667114
1,DR 1,2,1564.8527301385413
1,DR 1,3,1445.2113863364257
1,DR 1,4,1519.3175534557663
1,DR 1,5,1454.9408835969157
1,DR 1,6,1529.4237855064748
1,DR 1,7,1622.2056841794083
1,DR 1,8,1649.1557485236424
1,DR 1,9,1712.6971325862978
1,DR 1,10,1698.404077162848
1,DR 1,11,1696.6626203872686
1,DR 1,12,1634.0177089690822
1,DR 1,13,1428.3920860467806
1,DR 1,14,1659.5211056981607
1,DR 1,15,1422.7179319064032
1,DR 1,16,1587.0671659817244
1,DR 1,17,1759.5212076421894
1,DR 1,18,1693.1301374291822
1,DR 1,19,1753.5734877598816
1,DR 1,20,1519.278833154025
1,DR 1,21,1860.5675203057122
1,DR 1,22,1780.2094827268847
1,DR 1,23,1894.2280928039206
1,DR 1,24,1928.68396639459
1,DR 1,25,1872.836926162366
1,DR 1,26,2041.7731772071145
1,DR 1,27,2096.92228387189
1,DR 1,28,2227.151866881102
1,DR 1,29,1860.766145577391
2,DR 1,0,487.8621676034825
2,DR 1,1,1587.8730644811153
2,DR 1,2,1344.6848211251342
2,DR 1,3,2014.4468209142233
2,DR 1,4,2080.835990592254
2,DR 1,5,2270.725070483321
2,DR 1,6,2115.26977445069
2,DR 1,7,2195.3725894387276
2,DR 1,8,2212.2143758751886
2,DR 1,9,2270.0041942024945
2,DR 1,10,2185.4670280645064
2,DR 1,11,2128.049539960136
2,DR 1,12,2179.508306120579
2,DR 1,13,2069.518221422572
2,DR 1,14,2170.9034782590247
2,DR 1,15,2173.0838241035485
2,DR 1,16,2106.653246282192
2,DR 1,17,1986.7825036687775
2,DR 1,18,1976.6719491846889
2,DR 1,19,2050.198061470828
2,DR 1,20,2223.421979679717
2,DR 1,21,2044.9715736559128
2,DR 1,22,1845.4761271073385
2,DR 1,23,1885.3594384825349
2,DR 1,24,1983.8981076496293
2,DR 1,25,1943.5022734391716
2,DR 1,26,2020.832555034908
2,DR 1,27,1904.3509421523079
2,DR 1,28,1867.8455086728432
2,DR 1,29,1792.491318481695
