Run,Agent,Iteration,Net Utility
0,DR 1,0,-1415.2814509043167
0,DR 1,1,-430.07598819145204
0,DR 1,2,430.20742945243063
0,DR 1,3,401.4504259985286
0,DR 1,4,293.4463429812724
0,DR 1,5,370.8505621980096
0,DR 1,6,390.74032087871154
0,DR 1,7,414.7193294680509
0,DR 1,8,512.1719847816375
0,DR 1,9,527.8032028637475
0,DR 1,10,529.7266748966493
0,DR 1,11,527.1170629217734
0,DR 1,12,504.6155874935226
0,DR 1,13,569.8024027705582
0,DR 1,14,530.6172220923279
0,DR 1,15,568.6588471061264
0,DR 1,16,545.4738721510986
0,DR 1,17,595.562980084982
0,DR 1,18,624.4363947367232
0,DR 1,19,632.7076710718981
0,DR 1,20,611.4793036890339
0,DR 1,21,590.0888650203376
0,DR 1,22,564.8286000022771
0,DR 1,23,610.8927302549841
0,DR 1,24,506.7331704872139
0,DR 1,25,536.2110592806335
0,DR 1,26,513.8710791551881
0,DR 1,27,522.7608581177856
0,DR 1,28,488.0913035534805
0,DR 1,29,464.94162696800123
1,DR 1,0,-1347.3470910591977
1,DR 1,1,-785.8051900207116
1,DR 1,2,423.59087140017357
1,DR 1,3,572.0752636325832
1,DR 1,4,469.95536810070246
1,DR 1,5,503.13523062881825
1,DR 1,6,548.4754402218399
1,DR 1,7,607.765899243673
1,DR 1,8,541.2762924739194
1,DR 1,9,634.3302135232215
1,DR 1,10,688.5973197345563
1,DR 1,11,642.6998496466083
1,DR 1,12,639.1150663190995
1,DR 1,13,588.7315806838682
1,DR 1,14,661.623790593747
1,DR 1,15,643.4159533063277
1,DR 1,16,604.2824587591186
1,DR 1,17,667.6385214582507
1,DR 1,18,659.6084539462038
1,DR 1,19,605.5662843217798
1,DR 1,20,564.622065547869
1,DR 1,21,686.5042842912889
1,DR 1,22,620.4468725745371
1,DR 1,23,593.3133852252461
1,DR 1,24,601.3792844780844
1,DR 1,25,536.9636237253128
1,DR 1,26,530.0927770250227
1,DR 1,27,375.5285331217885
1,DR 1,28,510.30079489676274
1,DR 1,29,571.7074007630163
2,DR 1,0,-3774.1975016731744
2,DR 1,1,-450.92646715719417
2,DR 1,2,12.838043258148925
2,DR 1,3,-102.56905464663424
2,DR 1,4,-19.27053282744696
2,DR 1,5,70.8897154065522
2,DR 1,6,63.631440329269836
2,DR 1,7,158.4896164547938
2,DR 1,8,125.4432562691763
2,DR 1,9,158.29003394585087
2,DR 1,10,69.66615180049672
2,DR 1,11,171.76023383655212
2,DR 1,12,147.34368584151048
2,DR 1,13,322.3969719664026
2,DR 1,14,249.62601296482217
2,DR 1,15,384.43990392193876
2,DR 1,16,237.2941280941475
2,DR 1,17,259.14246213037006
2,DR 1,18,288.24743515496556
2,DR 1,19,364.3873500441072
2,DR 1,20,428.47332839389696
2,DR 1,21,213.68502315608265
2,DR 1,22,415.9030262249387
2,DR 1,23,320.05392037547455
2,DR 1,24,419.9775944164473
2,DR 1,25,346.19210043097996
2,DR 1,26,475.3911766218435
2,DR 1,27,400.38756998853785
2,DR 1,28,510.12291691432
2,DR 1,29,465.8267371023923
3,DR 1,0,-1037.4207902167602
3,DR 1,1,-1573.6556456475096
3,DR 1,2,-639.967861374126
3,DR 1,3,420.8333618060024
3,DR 1,4,436.4768577326837
3,DR 1,5,568.9185553749777
3,DR 1,6,528.5826686044759
3,DR 1,7,457.92496287903583
3,DR 1,8,551.8351554020178
3,DR 1,9,458.34915967464684
3,DR 1,10,534.100927031682
3,DR 1,11,436.1402043359199
3,DR 1,12,485.82155935760477
3,DR 1,13,502.9218983589737
3,DR 1,14,537.2490845428797
3,DR 1,15,561.8854847433049
3,DR 1,16,491.5351484644941
3,DR 1,17,459.4654432400821
3,DR 1,18,416.5116853817861
3,DR 1,19,470.00245531887975
3,DR 1,20,443.18211342016957
3,DR 1,21,472.84598082992056
3,DR 1,22,437.9989919675442
3,DR 1,23,408.47115897811454
3,DR 1,24,488.580821997282
3,DR 1,25,401.19956300610164
3,DR 1,26,399.9079458262484
3,DR 1,27,406.70007412483733
3,DR 1,28,494.2705298007732
3,DR 1,29,465.1531098481555
4,DR 1,0,-2336.65200934582
4,DR 1,1,-1224.6052984280357
4,DR 1,2,282.2347711168672
4,DR 1,3,255.5432782945675
4,DR 1,4,282.64463233604437
4,DR 1,5,383.6028581417773
4,DR 1,6,336.98393892645845
4,DR 1,7,364.16272650438145
4,DR 1,8,346.66831681272873
4,DR 1,9,373.61835220940617
4,DR 1,10,349.9137188591032
4,DR 1,11,360.59510726452135
4,DR 1,12,399.0163302860693
4,DR 1,13,491.17161512381284
4,DR 1,14,465.37601249501284
4,DR 1,15,516.962885838313
4,DR 1,16,462.79246604430506
