Run,Agent,Iteration,Overbid Regret
0,DR 1,0,550.8587898229277
0,DR 1,1,632.5272579717889
0,DR 1,2,369.92599992469786
0,DR 1,3,395.56885400131944
0,DR 1,4,386.03330279735644
0,DR 1,5,315.1172794609829
0,DR 1,6,297.76973393856696
0,DR 1,7,300.98186106248744
0,DR 1,8,264.6439485654803
0,DR 1,9,270.29161016533374
0,DR 1,10,288.0054493926972
0,DR 1,11,288.34466884074783
0,DR 1,12,282.56957405898083
0,DR 1,13,318.53480163620543
0,DR 1,14,372.1418271571436
0,DR 1,15,320.974180333865
0,DR 1,16,291.38013760906915
0,DR 1,17,220.5547067772436
0,DR 1,18,312.975458225844
0,DR 1,19,318.1257011841458
0,DR 1,20,290.0696031699148
0,DR 1,21,295.959920744781
0,DR 1,22,301.7325836295743
0,DR 1,23,366.7824850407957
0,DR 1,24,384.4662856086492
0,DR 1,25,336.5413020332795
0,DR 1,26,381.96385469151085
0,DR 1,27,423.90391225616975
0,DR 1,28,389.1984970267958
0,DR 1,29,311.6368321326265
0,DR 2,0,1467.3844249827382
0,DR 2,1,2036.8920127096515
0,DR 2,2,1081.1908368543377
0,DR 2,3,1070.8590073334644
0,DR 2,4,1014.5786388615738
0,DR 2,5,1277.767508692772
0,DR 2,6,1293.612588615791
0,DR 2,7,648.0396547115847
0,DR 2,8,589.531688994236
0,DR 2,9,609.3508237957424
0,DR 2,10,600.2673412303841
0,DR 2,11,509.1814427452184
0,DR 2,12,575.5842909644515
0,DR 2,13,528.8355469665486
0,DR 2,14,508.73704526381255
0,DR 2,15,467.8374462656549
0,DR 2,16,495.72568719622177
0,DR 2,17,497.18945261579273
0,DR 2,18,386.6927402830364
0,DR 2,19,353.73745789788103
0,DR 2,20,327.6398222292702
0,DR 2,21,277.37602484482625
0,DR 2,22,305.5016024335092
0,DR 2,23,284.641069617512
0,DR 2,24,243.72946424478852
0,DR 2,25,242.29272788572752
0,DR 2,26,258.04031413851874
0,DR 2,27,217.09063871624306
0,DR 2,28,417.1875601774992
0,DR 2,29,453.13331374717836
0,DR 3,0,3060.1149795055408
0,DR 3,1,569.1516949970206
0,DR 3,2,944.081844134687
0,DR 3,3,870.7807259031562
0,DR 3,4,796.1431301654688
0,DR 3,5,632.1273839966248
0,DR 3,6,599.9930190943087
0,DR 3,7,865.3807477680284
0,DR 3,8,767.5883911461292
0,DR 3,9,600.5549163247997
0,DR 3,10,592.7694849227067
0,DR 3,11,635.8365466514349
0,DR 3,12,643.4544073957256
0,DR 3,13,623.0615174171148
0,DR 3,14,539.9222718427877
0,DR 3,15,604.4105037525326
0,DR 3,16,578.9228215324779
0,DR 3,17,608.0169761640094
0,DR 3,18,480.3277595493683
0,DR 3,19,544.6103819203722
0,DR 3,20,575.8612727272588
0,DR 3,21,623.7071206940041
