Run,Iteration,Measure,Measure Name
0,0,13402.610159083099,Auction Revenue
0,1,5460.798737351516,Auction Revenue
0,2,4353.803755662874,Auction Revenue
0,3,4535.15583158624,Auction Revenue
0,4,4513.954319669171,Auction Revenue
0,5,4253.030866358948,Auction Revenue
0,6,4221.004685135257,Auction Revenue
0,7,3892.9665700328997,Auction Revenue
0,8,3666.958547864741,Auction Revenue
0,9,3499.424860052805,Auction Revenue
0,10,3475.931461223363,Auction Revenue
0,11,3393.6363451588154,Auction Revenue
0,12,3515.6182171107776,Auction Revenue
0,13,3342.9645097553903,Auction Revenue
0,14,3368.317623355382,Auction Revenue
0,15,3289.177875921321,Auction Revenue
0,16,3299.0997025794563,Auction Revenue
0,17,3177.490856043148,Auction Revenue
0,18,3172.130622138412,Auction Revenue
0,19,3218.310118731431,Auction Revenue
0,20,3277.734403613658,Auction Revenue
0,21,3294.2793143443796,Auction Revenue
0,22,3419.516945323808,Auction Revenue
0,23,3474.1757168671793,Auction Revenue
0,24,3523.238598042624,Auction Revenue
0,25,3538.79580158287,Auction Revenue
0,26,3607.2546644829727,Auction Revenue
0,27,3631.735420888757,Auction Revenue
0,28,3595.904870484587,Auction Revenue
0,29,3471.8040695571394,Auction Revenue
1,0,13762.141038822901,Auction Revenue
1,1,5066.863775478168,Auction Revenue
1,2,3893.7973564720005,Auction Revenue
1,3,4194.761726419009,Auction Revenue
1,4,4254.481576272051,Auction Revenue
1,5,4058.4687011534666,Auction Revenue
1,6,4023.1863155854603,Auction Revenue
1,7,3669.14578343778,Auction Revenue
1,8,3844.0485940578124,Auction Revenue
1,9,3659.910836833202,Auction Revenue
1,10,3621.263134545283,Auction Revenue
1,11,3665.619474231357,Auction Revenue
1,12,3499.9044787938483,Auction Revenue
1,13,3620.652535239873,Auction Revenue
1,14,3390.2751442480035,Auction Revenue
1,15,3356.868943524535,Auction Revenue
1,16,3632.3476643300237,Auction Revenue
1,17,3639.3046132030613,Auction Revenue
1,18,3613.855263776008,Auction Revenue
1,19,3669.938886371379,Auction Revenue
1,20,3705.751105679751,Auction Revenue
1,21,3603.297675116061,Auction Revenue
1,22,3650.7550886229374,Auction Revenue
1,23,3771.3260442519186,Auction Revenue
1,24,3809.9951482103115,Auction Revenue
1,25,3963.095847041167,Auction Revenue
1,26,3868.9876105088633,Auction Revenue
1,27,3904.5208418736224,Auction Revenue
1,28,3773.297829990006,Auction Revenue
1,29,3663.4715793975834,Auction Revenue
2,0,11734.84230955708,Auction Revenue
2,1,6140.1402916041425,Auction Revenue
2,2,6448.381308871761,Auction Revenue
2,3,4563.043001876909,Auction Revenue
2,4,4004.1767263898987,Auction Revenue
2,5,4010.8519087533446,Auction Revenue
2,6,4179.642428332418,Auction Revenue
2,7,4009.8474797222852,Auction Revenue
2,8,4018.582236489101,Auction Revenue
2,9,4059.1484003804367,Auction Revenue
2,10,4201.583932188642,Auction Revenue
2,11,4043.638162842636,Auction Revenue
2,12,4031.975617515049,Auction Revenue
2,13,3939.1100350016172,Auction Revenue
2,14,4057.6530550633906,Auction Revenue
