Run,Agent,Iteration,Underbid Regret
0,DR 1,0,2.221815105230145
0,DR 1,1,66.46105781103445
0,DR 1,2,155.34189659871817
0,DR 1,3,158.26960013750693
0,DR 1,4,158.3869712176997
0,DR 1,5,215.19240642831465
0,DR 1,6,218.60790492903217
0,DR 1,7,191.29713933724432
0,DR 1,8,174.61240719732118
0,DR 1,9,161.16629003570225
0,DR 1,10,169.2406113664884
0,DR 1,11,156.88007122968196
0,DR 1,12,173.18720580649028
0,DR 1,13,178.1578705042404
0,DR 1,14,146.63889792657346
0,DR 1,15,156.0049230720118
0,DR 1,16,155.47210730138994
0,DR 1,17,172.90879208641115
0,DR 1,18,107.3565736816227
0,DR 1,19,116.89195861026937
0,DR 1,20,102.95897081333872
0,DR 1,21,109.53454361614081
0,DR 1,22,106.94842550676205
0,DR 1,23,86.69207968188144
0,DR 1,24,91.48942233154827
0,DR 1,25,103.61111109338742
0,DR 1,26,105.07291342935206
0,DR 1,27,92.43535205831985
0,DR 1,28,93.00694123416193
0,DR 1,29,118.11890711492445
0,DR 2,0,12.680291457578818
0,DR 2,1,24.529374474158253
0,DR 2,2,46.828887990482244
0,DR 2,3,57.490957661226695
0,DR 2,4,67.83792162907046
0,DR 2,5,39.62401409473779
0,DR 2,6,36.70651956694532
0,DR 2,7,99.24249574376515
0,DR 2,8,88.08954851745199
0,DR 2,9,61.28179044059898
0,DR 2,10,66.83587040442414
0,DR 2,11,93.40592930740462
0,DR 2,12,77.36410306193896
0,DR 2,13,87.49382515295005
0,DR 2,14,90.04491251624583
0,DR 2,15,105.96698429601106
0,DR 2,16,88.70160020712667
0,DR 2,17,84.71697658032053
0,DR 2,18,99.4225507539355
0,DR 2,19,111.01581914251177
0,DR 2,20,104.94096648261447
0,DR 2,21,138.3982275781635
0,DR 2,22,123.11662952924512
0,DR 2,23,145.06884919390214
0,DR 2,24,185.32986875933608
0,DR 2,25,186.87977107481026
0,DR 2,26,177.54292245898057
0,DR 2,27,186.9531306228479
0,DR 2,28,81.50105299228554
0,DR 2,29,76.50898246111694
0,DR 3,0,39.15838513683792
0,DR 3,1,72.85230045635447
0,DR 3,2,73.01123508227114
0,DR 3,3,75.27312247915069
0,DR 3,4,85.29924397158845
0,DR 3,5,108.13555226192958
0,DR 3,6,125.78358017929008
0,DR 3,7,68.88350122089125
0,DR 3,8,61.929355596012805
0,DR 3,9,89.832537758564
0,DR 3,10,103.53388142980171
0,DR 3,11,77.70445400604365
0,DR 3,12,76.49871100875515
0,DR 3,13,86.95281018859632
0,DR 3,14,112.76313859209313
