Run,Agent,Iteration,Gross Utility
0,IPS 1,0,163.8278262512409
0,IPS 1,1,538.1061914913369
0,IPS 1,2,966.13534238243
1,IPS 1,0,235.31427129121602
1,IPS 1,1,691.389281555749
1,IPS 1,2,1363.9610055049873
0,IPS 2,0,970.1187370799132
0,IPS 2,1,794.7625292170027
0,IPS 2,2,1569.4225207195232
1,IPS 2,0,560.9886373627972
1,IPS 2,1,1283.607257237839
1,IPS 2,2,2017.0650053543318
0,IPS 3,0,1099.128849518442
0,IPS 3,1,890.3857209901131
0,IPS 3,2,2450.0654972936877
1,IPS 3,0,1277.6618627851253
1,IPS 3,1,1110.78299478333
1,IPS 3,2,1604.1953179912614
