Run,Agent,Iteration,Net Utility
0,IPS 1,0,-1239.1216577067623
0,IPS 1,1,-493.3581810084033
0,IPS 1,2,369.76060919244435
1,IPS 1,0,-1958.5039013752769
1,IPS 1,1,209.61369965968382
1,IPS 1,2,502.2055544295717
0,IPS 2,0,-5432.626848930628
0,IPS 2,1,-1344.979327681603
0,IPS 2,2,589.6195549679599
1,IPS 2,0,-3808.543513596616
1,IPS 2,1,-803.0300517501853
1,IPS 2,2,75.74637612487616
0,IPS 3,0,-5344.395661559952
0,IPS 3,1,-902.3031682994766
0,IPS 3,2,730.4979199091733
1,IPS 3,0,-4581.912872360146
1,IPS 3,1,-542.4062355200399
1,IPS 3,2,628.8746416110115
