Run,Agent,Iteration,Overbid Regret
0,IPS 1,0,381.0060587991703
0,IPS 1,1,457.40628007215986
0,IPS 1,2,291.6680954977636
0,IPS 2,0,2227.7074702833825
0,IPS 2,1,987.0219519669677
0,IPS 2,2,485.8946835848938
0,IPS 3,0,1920.9420173193712
0,IPS 3,1,778.7464630970618
0,IPS 3,2,874.210229043105
1,IPS 1,0,772.7596302270182
1,IPS 1,1,229.45212661520327
1,IPS 1,2,405.7839806724302
1,IPS 2,0,1474.340230505295
1,IPS 2,1,1165.3769904105893
1,IPS 2,2,1036.7373204972985
1,IPS 3,0,1989.3802317107868
1,IPS 3,1,967.6660058094992
1,IPS 3,2,499.8415366984181
