Run,Iteration,Measure,Measure Name
0,0,14249.219581046933,Auction Revenue
0,1,4963.895118687953,Auction Revenue
0,2,3295.7452763260585,Auction Revenue
1,0,12422.925058771189,Auction Revenue
1,1,4221.602121187463,Auction Revenue
1,2,3778.394756685105,Auction Revenue
0,0,-12016.144168197341,Social Surplus
0,1,-2740.640676989483,Social Surplus
0,2,1689.8780840695777,Social Surplus
1,0,-10348.96028733204,Social Surplus
1,1,-1135.8225876105414,Social Surplus
1,2,1206.8265721654593,Social Surplus
0,0,2233.0754128495964,Social Welfare
0,1,2223.254441698453,Social Welfare
0,2,4985.623360395641,Social Welfare
1,0,2073.9647714391385,Social Welfare
1,1,3085.779533576918,Social Welfare
1,2,4985.221328850581,Social Welfare
