Run,Agent,Iteration,Gross Utility
0,Truthful Oracle 1,0,1023.4950815185717
0,Truthful Oracle 1,1,1058.4696058818602
0,Truthful Oracle 1,2,1012.770095260978
0,Truthful Oracle 1,3,1040.8616169572729
0,Truthful Oracle 1,4,1067.804160768914
0,Truthful Oracle 1,5,1068.972955614794
0,Truthful Oracle 1,6,1010.5728512452638
0,Truthful Oracle 1,7,1072.5011464075972
0,Truthful Oracle 1,8,1033.6710046053463
0,Truthful Oracle 1,9,1015.4291557915025
0,Truthful Oracle 1,10,1008.6452671915525
0,Truthful Oracle 1,11,1068.9279441332667
0,Truthful Oracle 1,12,1038.6906555517385
0,Truthful Oracle 1,13,1106.0699702186648
0,Truthful Oracle 1,14,989.3947914367892
0,Truthful Oracle 1,15,1079.7966542384227
0,Truthful Oracle 1,16,1037.6693635713295
0,Truthful Oracle 1,17,1024.5317419041617
0,Truthful Oracle 1,18,1015.097418821857
0,Truthful Oracle 1,19,1027.0679488960009
1,Truthful Oracle 1,0,1025.076570397454
1,Truthful Oracle 1,1,1034.8918995398603
1,Truthful Oracle 1,2,1067.0247980461127
1,Truthful Oracle 1,3,1096.631878111438
1,Truthful Oracle 1,4,1075.0102136789583
1,Truthful Oracle 1,5,1056.6813371639773
1,Truthful Oracle 1,6,1028.7280659765427
1,Truthful Oracle 1,7,1000.2011555567349
1,Truthful Oracle 1,8,1109.7035211558323
1,Truthful Oracle 1,9,1077.5818726890602
1,Truthful Oracle 1,10,1040.1052885022552
1,Truthful Oracle 1,11,1070.685399330939
1,Truthful Oracle 1,12,1105.758972576901
1,Truthful Oracle 1,13,1092.8011951483652
1,Truthful Oracle 1,14,1062.9470965439762
1,Truthful Oracle 1,15,1044.4877151787282
1,Truthful Oracle 1,16,1022.5916453663908
1,Truthful Oracle 1,17,1033.4269172438117
1,Truthful Oracle 1,18,1014.4929777718933
1,Truthful Oracle 1,19,1080.4058983283296
2,Truthful Oracle 1,0,1004.3583028074712
2,Truthful Oracle 1,1,1030.5717058961473
2,Truthful Oracle 1,2,1032.7982018926607
2,Truthful Oracle 1,3,1024.257055567121
2,Truthful Oracle 1,4,1037.2137781246286
2,Truthful Oracle 1,5,1015.9577711415718
2,Truthful Oracle 1,6,1030.787858708836
2,Truthful Oracle 1,7,1032.5774299461732
2,Truthful Oracle 1,8,1042.5598577597343
2,Truthful Oracle 1,9,1071.363546423709
2,Truthful Oracle 1,10,1057.2391994655607
2,Truthful Oracle 1,11,1133.4918457637384
2,Truthful Oracle 1,12,1089.04502457242
2,Truthful Oracle 1,13,1013.5908062492131
2,Truthful Oracle 1,14,1018.310828348923
2,Truthful Oracle 1,15,990.0970972606473
2,Truthful Oracle 1,16,1022.3652128541601
2,Truthful Oracle 1,17,1142.4273015920737
2,Truthful Oracle 1,18,1117.0975213647698
2,Truthful Oracle 1,19,1042.2019274071604
0,Truthful Oracle 2,0,1195.0357386389223
0,Truthful Oracle 2,1,1196.8744702935792
0,Truthful Oracle 2,2,1187.1443572111584
0,Truthful Oracle 2,3,1199.4681025811599
0,Truthful Oracle 2,4,1188.732179270336
0,Truthful Oracle 2,5,1211.7670115885273
0,Truthful Oracle 2,6,1176.4381790093985
0,Truthful Oracle 2,7,1170.4043808714182
0,Truthful Oracle 2,8,1175.5138039486746
0,Truthful Oracle 2,9,1121.9145354069153
0,Truthful Oracle 2,10,1090.1314616396471
0,Truthful Oracle 2,11,1243.641473641964
0,Truthful Oracle 2,12,1185.1005994805298
0,Truthful Oracle 2,13,1158.1360876509555
0,Truthful Oracle 2,14,1257.199436932965
0,Truthful Oracle 2,15,1217.2815676716448
0,Truthful Oracle 2,16,1116.9054160873882
0,Truthful Oracle 2,17,1103.6835892393697
0,Truthful Oracle 2,18,1126.131401864405
0,Truthful Oracle 2,19,1223.1444590771544
1,Truthful Oracle 2,0,1105.5777285581485
1,Truthful Oracle 2,1,1183.2969334299898
1,Truthful Oracle 2,2,1223.415218694541
1,Truthful Oracle 2,3,1180.3208406485523
1,Truthful Oracle 2,4,1236.1010435456844
1,Truthful Oracle 2,5,1187.1179441434488
1,Truthful Oracle 2,6,1160.5202876014039
1,Truthful Oracle 2,7,1193.2765225895669
1,Truthful Oracle 2,8,1199.81305877201
1,Truthful Oracle 2,9,1178.812612377769
1,Truthful Oracle 2,10,1162.6576394767603
1,Truthful Oracle 2,11,1181.0868011887726
1,Truthful Oracle 2,12,1203.2199607469486
1,Truthful Oracle 2,13,1088.705111350223
1,Truthful Oracle 2,14,1229.850293130033
1,Truthful Oracle 2,15,1153.7196870830003
1,Truthful Oracle 2,16,1183.6741206587078
1,Truthful Oracle 2,17,1181.667640748136
1,Truthful Oracle 2,18,1147.3966842251918
1,Truthful Oracle 2,19,1111.7030355609381
2,Truthful Oracle 2,0,1182.1127451757438
2,Truthful Oracle 2,1,1168.4439143532113
2,Truthful Oracle 2,2,1204.547763128231
2,Truthful Oracle 2,3,1161.1755879319587
2,Truthful Oracle 2,4,1183.3217083035113
2,Truthful Oracle 2,5,1156.2355746833696
2,Truthful Oracle 2,6,1153.5958449556076
2,Truthful Oracle 2,7,1122.2089250525642
2,Truthful Oracle 2,8,1217.2841727372654
2,Truthful Oracle 2,9,1114.1941174985989
2,Truthful Oracle 2,10,1140.629015434751
2,Truthful Oracle 2,11,1204.6340028500138
2,Truthful Oracle 2,12,1221.1342569677329
2,Truthful Oracle 2,13,1135.9410918651488
2,Truthful Oracle 2,14,1129.3234803577227
2,Truthful Oracle 2,15,1113.2436141718301
2,Truthful Oracle 2,16,1127.2691625038067
2,Truthful Oracle 2,17,1165.6692386409866
2,Truthful Oracle 2,18,1203.8684188649565
2,Truthful Oracle 2,19,1215.3942561476445
0,Truthful Oracle 3,0,857.8391895989135
0,Truthful Oracle 3,1,850.0393847500125
0,Truthful Oracle 3,2,911.0710574931029
0,Truthful Oracle 3,3,911.0480799277177
0,Truthful Oracle 3,4,870.366666110904
0,Truthful Oracle 3,5,831.555110459951
0,Truthful Oracle 3,6,911.9473500795832
0,Truthful Oracle 3,7,876.7198363806235
0,Truthful Oracle 3,8,863.1310690181746
0,Truthful Oracle 3,9,838.3910675328827
0,Truthful Oracle 3,10,864.2939532105154
0,Truthful Oracle 3,11,880.1622047796424
0,Truthful Oracle 3,12,835.640945353152
0,Truthful Oracle 3,13,880.5256379163452
0,Truthful Oracle 3,14,897.1424869878932
0,Truthful Oracle 3,15,811.4143800183134
0,Truthful Oracle 3,16,830.9663689255538
0,Truthful Oracle 3,17,886.7485976791495
0,Truthful Oracle 3,18,829.2114918800221
0,Truthful Oracle 3,19,901.9349323591887
1,Truthful Oracle 3,0,878.9294405223977
1,Truthful Oracle 3,1,807.0892771039008
1,Truthful Oracle 3,2,853.8426534945803
1,Truthful Oracle 3,3,825.117765436013
1,Truthful Oracle 3,4,791.8696953753744
1,Truthful Oracle 3,5,853.0873004255016
1,Truthful Oracle 3,6,849.8944497464164
1,Truthful Oracle 3,7,887.0612312697057
1,Truthful Oracle 3,8,829.2311218200236
1,Truthful Oracle 3,9,865.7252163820602
1,Truthful Oracle 3,10,838.6086308783472
1,Truthful Oracle 3,11,853.9141898216584
1,Truthful Oracle 3,12,858.6146070192062
1,Truthful Oracle 3,13,894.368760734021
1,Truthful Oracle 3,14,810.870900661852
1,Truthful Oracle 3,15,847.9879045199383
1,Truthful Oracle 3,16,884.0089976791913
1,Truthful Oracle 3,17,874.4973746126082
1,Truthful Oracle 3,18,843.5729964203398
1,Truthful Oracle 3,19,842.5346525924048
2,Truthful Oracle 3,0,923.4381058081977
2,Truthful Oracle 3,1,835.4854012074434
2,Truthful Oracle 3,2,823.1108021458411
2,Truthful Oracle 3,3,881.2252054729729
2,Truthful Oracle 3,4,844.2538915957456
2,Truthful Oracle 3,5,829.2837803360757
2,Truthful Oracle 3,6,903.235025687036
2,Truthful Oracle 3,7,810.1336748557395
2,Truthful Oracle 3,8,867.3822853799038
2,Truthful Oracle 3,9,882.9308326810856
2,Truthful Oracle 3,10,861.1683945386895
2,Truthful Oracle 3,11,840.2902430938517
2,Truthful Oracle 3,12,874.4293906006849
2,Truthful Oracle 3,13,847.2471116238595
2,Truthful Oracle 3,14,848.5584311906247
2,Truthful Oracle 3,15,854.0912504235012
2,Truthful Oracle 3,16,879.4250892232819
2,Truthful Oracle 3,17,814.975185954533
2,Truthful Oracle 3,18,864.1046427302471
2,Truthful Oracle 3,19,880.1438947038037
0,Truthful Oracle 4,0,1856.5888331840824
0,Truthful Oracle 4,1,1808.812569906508
0,Truthful Oracle 4,2,1803.7961231989113
0,Truthful Oracle 4,3,1832.785183358972
0,Truthful Oracle 4,4,1830.0576901805164
0,Truthful Oracle 4,5,1847.745436826298
0,Truthful Oracle 4,6,1729.0283927182984
0,Truthful Oracle 4,7,1805.737105339178
0,Truthful Oracle 4,8,1837.025285301373
0,Truthful Oracle 4,9,1865.332555692805
0,Truthful Oracle 4,10,1842.1627337549653
0,Truthful Oracle 4,11,1856.597783878086
0,Truthful Oracle 4,12,1876.8126560524022
0,Truthful Oracle 4,13,1859.8210796623903
0,Truthful Oracle 4,14,1881.9386995195769
0,Truthful Oracle 4,15,1826.9722195725667
0,Truthful Oracle 4,16,1873.08952025502
0,Truthful Oracle 4,17,1857.824245692553
0,Truthful Oracle 4,18,1876.4169441221538
0,Truthful Oracle 4,19,1830.8788297427548
1,Truthful Oracle 4,0,1814.0857129037115
1,Truthful Oracle 4,1,1824.1595019619263
1,Truthful Oracle 4,2,1774.287041533204
1,Truthful Oracle 4,3,1835.2271902923032
1,Truthful Oracle 4,4,1871.0567003603094
1,Truthful Oracle 4,5,1853.863710059916
1,Truthful Oracle 4,6,1848.7110873478796
1,Truthful Oracle 4,7,1811.8244133069463
1,Truthful Oracle 4,8,1858.360061921816
1,Truthful Oracle 4,9,1886.3984012886756
1,Truthful Oracle 4,10,1854.7881840262048
