Run,Agent,Iteration,Net Utility
0,Truthful Oracle 1,0,435.7311045417382
0,Truthful Oracle 1,1,460.63801021509556
0,Truthful Oracle 1,2,432.912988756823
0,Truthful Oracle 1,3,455.1278938760974
0,Truthful Oracle 1,4,485.3649474368174
0,Truthful Oracle 1,5,468.35332439232843
0,Truthful Oracle 1,6,447.7847874330298
0,Truthful Oracle 1,7,470.3618360921923
0,Truthful Oracle 1,8,454.0542323714795
0,Truthful Oracle 1,9,455.135947305853
0,Truthful Oracle 1,10,437.2816206766246
0,Truthful Oracle 1,11,462.37800834036113
0,Truthful Oracle 1,12,472.7008121434252
0,Truthful Oracle 1,13,489.6887074855841
0,Truthful Oracle 1,14,444.4282291994807
0,Truthful Oracle 1,15,500.16423226042383
0,Truthful Oracle 1,16,435.5994837348242
0,Truthful Oracle 1,17,476.62010039706877
0,Truthful Oracle 1,18,443.53556409586463
0,Truthful Oracle 1,19,453.4127129408796
1,Truthful Oracle 1,0,436.5361041565975
1,Truthful Oracle 1,1,480.68378591817515
1,Truthful Oracle 1,2,454.6231892030618
1,Truthful Oracle 1,3,459.23628657603143
1,Truthful Oracle 1,4,480.3166850030225
1,Truthful Oracle 1,5,450.9191682133388
1,Truthful Oracle 1,6,435.4638757321363
1,Truthful Oracle 1,7,405.63565273717523
1,Truthful Oracle 1,8,486.6463438725798
1,Truthful Oracle 1,9,481.3391974839631
1,Truthful Oracle 1,10,464.77966284036484
1,Truthful Oracle 1,11,480.11755062545103
1,Truthful Oracle 1,12,508.3925188854366
1,Truthful Oracle 1,13,502.5252058991827
1,Truthful Oracle 1,14,463.9206540464635
1,Truthful Oracle 1,15,448.403049538395
1,Truthful Oracle 1,16,453.2258685372895
1,Truthful Oracle 1,17,444.83610490954305
1,Truthful Oracle 1,18,439.4095248875939
1,Truthful Oracle 1,19,474.45328873907044
2,Truthful Oracle 1,0,438.6471300598022
2,Truthful Oracle 1,1,460.2497227225221
2,Truthful Oracle 1,2,468.6540441144866
2,Truthful Oracle 1,3,441.1512788167003
2,Truthful Oracle 1,4,458.9294149160278
2,Truthful Oracle 1,5,439.14992890195026
2,Truthful Oracle 1,6,458.1712091435345
2,Truthful Oracle 1,7,440.00560922676954
2,Truthful Oracle 1,8,465.0090382992447
2,Truthful Oracle 1,9,485.0114083201293
2,Truthful Oracle 1,10,475.6185843779563
2,Truthful Oracle 1,11,520.847265121614
2,Truthful Oracle 1,12,482.8495913997824
2,Truthful Oracle 1,13,432.32123973441753
