Run,Iteration,Measure,Measure Name
0,0,4131.587413036655,Auction Revenue
0,1,4110.4622933082355,Auction Revenue
0,2,4130.245988647052,Auction Revenue
0,3,4155.413375279833,Auction Revenue
0,4,4109.8214522903545,Auction Revenue
0,5,4132.308995126705,Auction Revenue
0,6,4096.884603860213,Auction Revenue
0,7,4153.252258574106,Auction Revenue
0,8,4111.691197498777,Auction Revenue
0,9,4052.0890060225893,Auction Revenue
0,10,4138.250794775355,Auction Revenue
0,11,4155.28283284117,Auction Revenue
0,12,4145.012675474131,Auction Revenue
0,13,4125.444056139531,Auction Revenue
0,14,4116.4078121567045,Auction Revenue
0,15,4147.846710627555,Auction Revenue
0,16,4118.173255767337,Auction Revenue
0,17,4110.398715325952,Auction Revenue
0,18,4121.871624408248,Auction Revenue
0,19,4119.209939216262,Auction Revenue
1,0,4110.057677315587,Auction Revenue
1,1,4159.263260359579,Auction Revenue
1,2,4130.573688642473,Auction Revenue
1,3,4137.671647114417,Auction Revenue
1,4,4122.672319204183,Auction Revenue
1,5,4135.107025075309,Auction Revenue
1,6,4137.28794726188,Auction Revenue
1,7,4126.835589569922,Auction Revenue
1,8,4156.409596082961,Auction Revenue
1,9,4132.370782971816,Auction Revenue
1,10,4125.150277931039,Auction Revenue
1,11,4124.0286103080725,Auction Revenue
1,12,4140.808977648967,Auction Revenue
1,13,4076.8779839522017,Auction Revenue
1,14,4099.764587821803,Auction Revenue
1,15,4113.358552550133,Auction Revenue
1,16,4136.2198525593385,Auction Revenue
1,17,4076.8018314785704,Auction Revenue
1,18,4174.868830788481,Auction Revenue
1,19,4156.731133402165,Auction Revenue
2,0,4139.855383268359,Auction Revenue
2,1,4166.138876456122,Auction Revenue
2,2,4102.101706795574,Auction Revenue
2,3,4037.2395377719176,Auction Revenue
2,4,4083.645756329011,Auction Revenue
2,5,4125.059439318564,Auction Revenue
2,6,4109.458172538244,Auction Revenue
2,7,4136.896111412022,Auction Revenue
2,8,4100.688312098628,Auction Revenue
2,9,4187.418076827978,Auction Revenue
2,10,4152.2149192843935,Auction Revenue
2,11,4120.1671896458065,Auction Revenue
2,12,4100.908083219023,Auction Revenue
2,13,4107.919067508387,Auction Revenue
2,14,4076.8017188171957,Auction Revenue
2,15,4145.037549781639,Auction Revenue
2,16,4122.216179632347,Auction Revenue
2,17,4109.376741478074,Auction Revenue
2,18,4138.737168367975,Auction Revenue
2,19,4139.380361222677,Auction Revenue
0,0,2998.9743298141693,Social Surplus
0,1,3070.493373953424,Social Surplus
0,2,3039.438991037292,Social Surplus
0,3,3053.27944195145,Social Surplus
0,4,3146.1579071743477,Social Surplus
0,5,3062.5535127756857,Social Surplus
0,6,2963.1218805120247,Social Surplus
0,7,3031.4398625083622,Social Surplus
0,8,3067.0706139112153,Social Surplus
0,9,3069.4466394152314,Social Surplus
0,10,2980.207057968165,Social Surplus
0,11,3079.8575918887896,Social Surplus
0,12,3017.51528504547,Social Surplus
0,13,3079.651662043799,Social Surplus
0,14,3092.535495486802,Social Surplus
0,15,3007.490282305996,Social Surplus
0,16,3008.719403946508,Social Surplus
0,17,3048.004157361541,Social Surplus
0,18,3000.939988850002,Social Surplus
0,19,3100.487258680444,Social Surplus
1,0,2958.0073438218856,Social Surplus
1,1,3031.2003660595014,Social Surplus
1,2,3026.879440665734,Social Surplus
1,3,3031.3278576818684,Social Surplus
1,4,3129.6586125339127,Social Surplus
1,5,3065.9337084514336,Social Surplus
1,6,3033.109995300864,Social Surplus
1,7,2965.34006922472,Social Surplus
1,8,3093.7981150196224,Social Surplus
1,9,3052.8853559908607,Social Surplus
1,10,3095.1871367769263,Social Surplus
1,11,3118.369063444715,Social Surplus
1,12,3098.6687840302666,Social Surplus
1,13,3065.4159673719514,Social Surplus
1,14,3058.7968683724184,Social Surplus
1,15,2976.2122328577498,Social Surplus
1,16,3060.922417415607,Social Surplus
1,17,2988.7603139520966,Social Surplus
1,18,3058.2579069250996,Social Surplus
1,19,2998.6105430190314,Social Surplus
2,0,3008.2158708556135,Social Surplus
2,1,3040.7230273458613,Social Surplus
2,2,3080.380218214172,Social Surplus
2,3,3014.060196150785,Social Surplus
2,4,3074.5342848560813,Social Surplus
2,5,3010.391476908136,Social Surplus
2,6,3114.984208657196,Social Surplus
2,7,3004.5181713356724,Social Surplus
2,8,3118.17667611229,Social Surplus
2,9,3026.109673532115,Social Surplus
2,10,3089.2522691454565,Social Surplus
2,11,3178.4091455798593,Social Surplus
2,12,3142.2302234019485,Social Surplus
2,13,3055.5478232302034,Social Surplus
2,14,2951.932433645135,Social Surplus
2,15,3088.5662443590136,Social Surplus
2,16,2980.6455021095844,Social Surplus
2,17,3064.8866021774516,Social Surplus
2,18,3103.3555404694307,Social Surplus
2,19,3053.8507619880434,Social Surplus
0,0,7130.561742850794,Social Welfare
0,1,7180.955667261656,Social Welfare
0,2,7169.684979684336,Social Welfare
0,3,7208.692817231262,Social Welfare
0,4,7255.979359464689,Social Welfare
0,5,7194.862507902394,Social Welfare
0,6,7060.006484372231,Social Welfare
0,7,7184.692121082438,Social Welfare
0,8,7178.761811409979,Social Welfare
0,9,7121.535645437802,Social Welfare
0,10,7118.45785274352,Social Welfare
0,11,7235.140424729947,Social Welfare
0,12,7162.527960519612,Social Welfare
0,13,7205.0957181833355,Social Welfare
0,14,7208.943307643482,Social Welfare
0,15,7155.336992933548,Social Welfare
0,16,7126.892659713827,Social Welfare
0,17,7158.402872687472,Social Welfare
0,18,7122.811613258241,Social Welfare
0,19,7219.69719789669,Social Welfare
1,0,7068.065021137431,Social Welfare
1,1,7190.463626419063,Social Welfare
1,2,7157.453129308195,Social Welfare
1,3,7168.999504796263,Social Welfare
1,4,7252.330931738072,Social Welfare
1,5,7201.040733526724,Social Welfare
1,6,7170.397942562746,Social Welfare
1,7,7092.175658794621,Social Welfare
1,8,7250.207711102542,Social Welfare
1,9,7185.25613896268,Social Welfare
1,10,7220.337414707933,Social Welfare
1,11,7242.397673752777,Social Welfare
1,12,7239.477761679231,Social Welfare
1,13,7142.293951324151,Social Welfare
1,14,7158.561456194204,Social Welfare
1,15,7089.570785407859,Social Welfare
1,16,7197.14226997495,Social Welfare
1,17,7065.56214543065,Social Welfare
1,18,7233.126737713568,Social Welfare
1,19,7155.34167642118,Social Welfare
2,0,7148.071254123963,Social Welfare
2,1,7206.861903801945,Social Welfare
2,2,7182.481925009737,Social Welfare
2,3,7051.299733922683,Social Welfare
2,4,7158.180041185081,Social Welfare
2,5,7135.450916226682,Social Welfare
2,6,7224.442381195431,Social Welfare
2,7,7141.414282747659,Social Welfare
2,8,7218.864988210912,Social Welfare
2,9,7213.527750360083,Social Welfare
2,10,7241.467188429853,Social Welfare
2,11,7298.576335225633,Social Welfare
2,12,7243.13830662096,Social Welfare
2,13,7163.46689073858,Social Welfare
2,14,7028.734152462326,Social Welfare
2,15,7233.603794140656,Social Welfare
2,16,7102.86168174192,Social Welfare
2,17,7174.263343655522,Social Welfare
2,18,7242.0927088373965,Social Welfare
2,19,7193.231123210701,Social Welfare
