Run,Agent,Iteration,Gross Utility
0,Truthful Learnt 1,0,500.5039481104142
0,Truthful Learnt 1,1,577.6296611905955
0,Truthful Learnt 1,2,873.8083521062365
0,Truthful Learnt 1,3,919.9306808828813
0,Truthful Learnt 1,4,990.8855448672804
0,Truthful Learnt 1,5,998.1522034401211
0,Truthful Learnt 1,6,969.4241824768258
0,Truthful Learnt 1,7,997.7855972449655
0,Truthful Learnt 1,8,983.0901244959313
0,Truthful Learnt 1,9,879.426434321722
0,Truthful Learnt 1,10,940.7243281298762
0,Truthful Learnt 1,11,977.1465477011894
0,Truthful Learnt 1,12,945.1717006479763
0,Truthful Learnt 1,13,1034.7402023037014
0,Truthful Learnt 1,14,916.2839048461361
0,Truthful Learnt 1,15,962.7441270783523
0,Truthful Learnt 1,16,967.8315041060191
0,Truthful Learnt 1,17,940.9106233322289
0,Truthful Learnt 1,18,950.7249162357066
0,Truthful Learnt 1,19,935.605022439527
1,Truthful Learnt 1,0,327.6222050043199
1,Truthful Learnt 1,1,499.57960193570443
1,Truthful Learnt 1,2,795.0538239351739
1,Truthful Learnt 1,3,886.8272071579486
1,Truthful Learnt 1,4,788.5446518741842
1,Truthful Learnt 1,5,797.8043608453714
1,Truthful Learnt 1,6,795.1270818725027
1,Truthful Learnt 1,7,812.5432203742712
1,Truthful Learnt 1,8,918.5519047108966
1,Truthful Learnt 1,9,921.9209366806647
1,Truthful Learnt 1,10,861.7192389474308
1,Truthful Learnt 1,11,882.6698137176443
1,Truthful Learnt 1,12,888.1012703769551
1,Truthful Learnt 1,13,927.0146803659652
1,Truthful Learnt 1,14,839.056298568916
1,Truthful Learnt 1,15,835.7366511200278
1,Truthful Learnt 1,16,840.6571618522668
1,Truthful Learnt 1,17,819.0746943151818
1,Truthful Learnt 1,18,832.429708374376
1,Truthful Learnt 1,19,853.88985648485
2,Truthful Learnt 1,0,271.10065434960495
2,Truthful Learnt 1,1,251.77423910254507
2,Truthful Learnt 1,2,858.7965867169779
2,Truthful Learnt 1,3,899.3341352918297
2,Truthful Learnt 1,4,921.0792759215688
2,Truthful Learnt 1,5,856.2328335453624
2,Truthful Learnt 1,6,933.6792296479529
2,Truthful Learnt 1,7,895.2196956938029
2,Truthful Learnt 1,8,899.8068004386362
2,Truthful Learnt 1,9,932.2719739478487
2,Truthful Learnt 1,10,950.5010522221239
2,Truthful Learnt 1,11,948.2326825370081
2,Truthful Learnt 1,12,894.9042063298533
2,Truthful Learnt 1,13,834.4134216154642
2,Truthful Learnt 1,14,882.9082195491352
2,Truthful Learnt 1,15,854.4227466493375
2,Truthful Learnt 1,16,930.7022181265578
2,Truthful Learnt 1,17,915.1912457089139
2,Truthful Learnt 1,18,893.4030518872662
2,Truthful Learnt 1,19,908.7237560849795
0,Truthful Learnt 2,0,257.2920751578974
0,Truthful Learnt 2,1,352.3210680494312
0,Truthful Learnt 2,2,603.3127677555281
0,Truthful Learnt 2,3,688.3798872686781
0,Truthful Learnt 2,4,733.733541455054
0,Truthful Learnt 2,5,720.0176919105743
0,Truthful Learnt 2,6,743.9480992686161
0,Truthful Learnt 2,7,664.4392634252524
0,Truthful Learnt 2,8,705.9092251604898
0,Truthful Learnt 2,9,702.2890197245954
0,Truthful Learnt 2,10,652.843947892866
0,Truthful Learnt 2,11,721.9164448998138
0,Truthful Learnt 2,12,791.4228194586668
0,Truthful Learnt 2,13,745.2409309172908
0,Truthful Learnt 2,14,762.6970555663438
0,Truthful Learnt 2,15,796.1230856551342
0,Truthful Learnt 2,16,672.4400395735769
0,Truthful Learnt 2,17,646.7020448005889
0,Truthful Learnt 2,18,687.7044657149859
0,Truthful Learnt 2,19,719.2026932492414
1,Truthful Learnt 2,0,165.75049207858038
1,Truthful Learnt 2,1,215.70967226848813
1,Truthful Learnt 2,2,640.2321304981316
1,Truthful Learnt 2,3,800.8727150974304
1,Truthful Learnt 2,4,728.3059655273123
1,Truthful Learnt 2,5,882.1711311671472
1,Truthful Learnt 2,6,853.2949001372483
1,Truthful Learnt 2,7,871.319405438749
1,Truthful Learnt 2,8,849.032391798268
1,Truthful Learnt 2,9,817.2061055984
1,Truthful Learnt 2,10,812.5586259781888
1,Truthful Learnt 2,11,826.4367728400659
1,Truthful Learnt 2,12,829.7328421917783
1,Truthful Learnt 2,13,772.1690806670682
1,Truthful Learnt 2,14,805.9579280973195
1,Truthful Learnt 2,15,813.9748688379054
1,Truthful Learnt 2,16,855.668626308511
1,Truthful Learnt 2,17,826.1165436350614
1,Truthful Learnt 2,18,816.5515147491706
1,Truthful Learnt 2,19,844.4766195576265
2,Truthful Learnt 2,0,296.947582274734
2,Truthful Learnt 2,1,460.795159702443
2,Truthful Learnt 2,2,805.7469015378504
2,Truthful Learnt 2,3,896.1517788235544
2,Truthful Learnt 2,4,824.4340214839348
2,Truthful Learnt 2,5,791.0432786424376
2,Truthful Learnt 2,6,825.2358140913759
2,Truthful Learnt 2,7,767.9025092325173
2,Truthful Learnt 2,8,812.6695291275112
2,Truthful Learnt 2,9,772.8033726021526
2,Truthful Learnt 2,10,796.1905088425628
2,Truthful Learnt 2,11,883.5585431631174
2,Truthful Learnt 2,12,921.8825346498321
2,Truthful Learnt 2,13,795.4616528283498
2,Truthful Learnt 2,14,758.0105908522659
2,Truthful Learnt 2,15,764.2510200236732
2,Truthful Learnt 2,16,826.0986892727752
2,Truthful Learnt 2,17,847.5206339004704
2,Truthful Learnt 2,18,858.600285296431
2,Truthful Learnt 2,19,874.3286528048546
0,Truthful Learnt 3,0,183.38206502445684
0,Truthful Learnt 3,1,472.6567366325495
0,Truthful Learnt 3,2,497.81216386020805
0,Truthful Learnt 3,3,603.8401078089419
0,Truthful Learnt 3,4,616.5155656442765
0,Truthful Learnt 3,5,576.7299814443396
0,Truthful Learnt 3,6,551.529533061908
0,Truthful Learnt 3,7,584.8999023648042
0,Truthful Learnt 3,8,556.0627792517682
0,Truthful Learnt 3,9,536.4665668454096
0,Truthful Learnt 3,10,591.5037079132944
0,Truthful Learnt 3,11,609.5460695747018
0,Truthful Learnt 3,12,510.466683923571
0,Truthful Learnt 3,13,544.2407927254462
0,Truthful Learnt 3,14,553.538704699625
0,Truthful Learnt 3,15,542.4796404518972
0,Truthful Learnt 3,16,547.9078549444016
0,Truthful Learnt 3,17,583.9273784916815
0,Truthful Learnt 3,18,539.8898956067387
0,Truthful Learnt 3,19,621.9965835552687
1,Truthful Learnt 3,0,64.06546803746515
1,Truthful Learnt 3,1,324.8436386775022
