Run,Iteration,Measure,Measure Name
0,0,7666.784227026022,Auction Revenue
0,1,3648.649955501532,Auction Revenue
0,2,2830.575953629885,Auction Revenue
0,3,2911.513487995428,Auction Revenue
0,4,2935.921182776991,Auction Revenue
0,5,2990.689274484935,Auction Revenue
0,6,2988.7943123246123,Auction Revenue
0,7,3082.764216522802,Auction Revenue
0,8,3119.963250100228,Auction Revenue
0,9,3044.5197754528845,Auction Revenue
0,10,3084.763537033798,Auction Revenue
0,11,3032.412300582677,Auction Revenue
0,12,3127.9595387453073,Auction Revenue
0,13,3117.726087232453,Auction Revenue
0,14,3055.3872646084155,Auction Revenue
0,15,3113.307964098123,Auction Revenue
0,16,3052.1229217023238,Auction Revenue
0,17,3048.7026292006444,Auction Revenue
0,18,3109.1577086094353,Auction Revenue
0,19,3141.9500335356483,Auction Revenue
1,0,8997.8186206915,Auction Revenue
1,1,3763.6761301211245,Auction Revenue
1,2,2979.246565952199,Auction Revenue
1,3,2810.140988645881,Auction Revenue
1,4,3160.25295092708,Auction Revenue
1,5,2914.669848179884,Auction Revenue
1,6,3063.208317889644,Auction Revenue
1,7,3150.1292858245283,Auction Revenue
1,8,3021.303305177969,Auction Revenue
1,9,3139.2154901368394,Auction Revenue
1,10,3180.3009568635234,Auction Revenue
1,11,3185.311672641364,Auction Revenue
1,12,3197.050543940154,Auction Revenue
1,13,3141.9683415564377,Auction Revenue
1,14,3166.8994419489113,Auction Revenue
1,15,3211.502581145554,Auction Revenue
1,16,3099.4968391372113,Auction Revenue
1,17,3227.460219070871,Auction Revenue
1,18,3225.4648621525594,Auction Revenue
1,19,3203.6887386351664,Auction Revenue
2,0,9045.11221808134,Auction Revenue
2,1,3344.3177632597126,Auction Revenue
2,2,2651.8661243166184,Auction Revenue
2,3,2857.267029500416,Auction Revenue
2,4,2959.031312360564,Auction Revenue
2,5,3025.0339418185313,Auction Revenue
2,6,2993.629303481656,Auction Revenue
2,7,3060.991218053695,Auction Revenue
2,8,2939.4349142828833,Auction Revenue
2,9,3092.0247614406226,Auction Revenue
2,10,3009.7902863100653,Auction Revenue
2,11,3051.0923072168894,Auction Revenue
2,12,3118.369433040612,Auction Revenue
2,13,3024.2899025946735,Auction Revenue
2,14,3044.5939515846435,Auction Revenue
2,15,2959.1297617928644,Auction Revenue
2,16,3114.4994006506263,Auction Revenue
2,17,3056.8809438017415,Auction Revenue
2,18,3094.961842879711,Auction Revenue
2,19,3073.0668981802014,Auction Revenue
0,0,-5836.412177268488,Social Surplus
0,1,-775.7249581363512,Social Surplus
0,2,2039.2989969074263,Social Surplus
0,3,2408.0783103410145,Social Surplus
0,4,2636.80533747098,Social Surplus
0,5,2563.9777797685783,Social Surplus
0,6,2465.342047262542,Social Surplus
0,7,2545.5185110168336,Social Surplus
0,8,2441.4428697945423,Social Surplus
0,9,2536.098755260386,Social Surplus
0,10,2478.159839121739,Social Surplus
0,11,2650.3163087449725,Social Surplus
0,12,2555.619275848406,Social Surplus
0,13,2522.253808450703,Social Surplus
0,14,2489.918647440544,Social Surplus
0,15,2413.340679859489,Social Surplus
0,16,2447.325903547944,Social Surplus
0,17,2557.236351400349,Social Surplus
0,18,2509.256310541632,Social Surplus
0,19,2439.411584051919,Social Surplus
1,0,-7380.22398965467,Social Surplus
1,1,-1450.7704713037017,Social Surplus
1,2,1881.6971341614055,Social Surplus
1,3,2382.0656980652975,Social Surplus
1,4,2074.096640044653,Social Surplus
1,5,2585.5881343619276,Social Surplus
1,6,2515.73496480901,Social Surplus
1,7,2315.642573905374,Social Surplus
1,8,2551.234334170732,Social Surplus
1,9,2463.9387330073423,Social Surplus
1,10,2514.7548685746415,Social Surplus
1,11,2508.5427242857895,Social Surplus
1,12,2473.1149477949048,Social Surplus
1,13,2460.756828926428,Social Surplus
1,14,2497.8547715095247,Social Surplus
1,15,2345.6118700831917,Social Surplus
1,16,2593.477042876295,Social Surplus
1,17,2326.9418191056584,Social Surplus
1,18,2457.3736179872026,Social Surplus
1,19,2508.3019111010826,Social Surplus
2,0,-7522.296231835779,Social Surplus
2,1,-770.240127735673,Social Surplus
2,2,2407.396374270551,Social Surplus
2,3,2557.4880749287777,Social Surplus
2,4,2620.9136545305328,Social Surplus
2,5,2454.3276006459537,Social Surplus
2,6,2675.3941548610555,Social Surplus
2,7,2442.843839484874,Social Surplus
2,8,2648.1966686026735,Social Surplus
2,9,2518.2737568960374,Social Surplus
2,10,2578.0443098328915,Social Surplus
2,11,2632.3535435420717,Social Surplus
2,12,2505.444667663651,Social Surplus
2,13,2556.867709201375,Social Surplus
2,14,2394.0364048585034,Social Surplus
2,15,2656.0177543490618,Social Surplus
2,16,2496.6826473947344,Social Surplus
2,17,2597.8661254880717,Social Surplus
2,18,2564.1864077981227,Social Surplus
2,19,2604.4740633581487,Social Surplus
0,0,1830.372049757529,Social Welfare
0,1,2872.9249973651677,Social Welfare
0,2,4869.874950537302,Social Welfare
0,3,5319.591798336428,Social Welfare
0,4,5572.726520247965,Social Welfare
0,5,5554.667054253488,Social Welfare
0,6,5454.136359587145,Social Welfare
0,7,5628.282727539605,Social Welfare
0,8,5561.406119894763,Social Welfare
0,9,5580.618530713263,Social Welfare
0,10,5562.923376155518,Social Welfare
0,11,5682.728609327638,Social Welfare
0,12,5683.578814593713,Social Welfare
0,13,5639.979895683128,Social Welfare
0,14,5545.305912048972,Social Welfare
0,15,5526.648643957605,Social Welfare
0,16,5499.448825250266,Social Welfare
0,17,5605.938980600988,Social Welfare
0,18,5618.41401915106,Social Welfare
0,19,5581.361617587565,Social Welfare
1,0,1617.594631036862,Social Welfare
1,1,2312.9056588174103,Social Welfare
1,2,4860.943700113612,Social Welfare
1,3,5192.206686711167,Social Welfare
1,4,5234.349590971708,Social Welfare
1,5,5500.257982541822,Social Welfare
1,6,5578.943282698635,Social Welfare
1,7,5465.771859729884,Social Welfare
1,8,5572.537639348702,Social Welfare
1,9,5603.154223144181,Social Welfare
1,10,5695.055825438167,Social Welfare
1,11,5693.854396927152,Social Welfare
1,12,5670.165491735048,Social Welfare
1,13,5602.725170482847,Social Welfare
1,14,5664.754213458424,Social Welfare
1,15,5557.114451228734,Social Welfare
1,16,5692.973882013518,Social Welfare
1,17,5554.402038176531,Social Welfare
1,18,5682.838480139771,Social Welfare
1,19,5711.99064973623,Social Welfare
2,0,1522.815986245534,Social Welfare
2,1,2574.077635524029,Social Welfare
2,2,5059.262498587177,Social Welfare
2,3,5414.755104429198,Social Welfare
2,4,5579.944966891087,Social Welfare
2,5,5479.361542464489,Social Welfare
2,6,5669.023458342689,Social Welfare
2,7,5503.835057538563,Social Welfare
2,8,5587.631582885564,Social Welfare
2,9,5610.298518336644,Social Welfare
2,10,5587.834596142934,Social Welfare
2,11,5683.445850758954,Social Welfare
2,12,5623.814100704256,Social Welfare
